Kingdom,aa,n,count,type
Eukaryota,A,1,1016577.5555739533,expected
Eukaryota,A,1,916111,empirical
Eukaryota,A,2,67865.29206051368,expected
Eukaryota,A,2,90495,empirical
Eukaryota,A,3,4574.027268894144,expected
Eukaryota,A,3,13703,empirical
Eukaryota,A,4,309.58502443801257,expected
Eukaryota,A,4,3135,empirical
Eukaryota,A,5,21.02932378772615,expected
Eukaryota,A,5,1166,empirical
Eukaryota,A,6,1.4341526649842702,expected
Eukaryota,A,6,536,empirical
Eukaryota,A,7,0.09808580358444759,expected
Eukaryota,A,7,281,empirical
Eukaryota,A,8,0.006724900466290769,expected
Eukaryota,A,8,145,empirical
Eukaryota,A,9,0.0004620383125318536,expected
Eukaryota,A,9,113,empirical
Eukaryota,A,10,3.1799581671374185e-05,expected
Eukaryota,A,10,52,empirical
Eukaryota,A,11,2.1916088239964286e-06,expected
Eukaryota,A,11,42,empirical
Eukaryota,A,12,1.5125119541726632e-07,expected
Eukaryota,A,12,28,empirical
Eukaryota,A,13,1.0449356959911742e-08,expected
Eukaryota,A,13,16,empirical
Eukaryota,A,14,7.225902117728956e-10,expected
Eukaryota,A,14,18,empirical
Eukaryota,A,15,5.001602617748472e-11,expected
Eukaryota,A,15,12,empirical
Eukaryota,A,16,3.4649764500617995e-12,expected
Eukaryota,A,16,9,empirical
Eukaryota,A,17,2.40242092553632e-13,expected
Eukaryota,A,17,3,empirical
Eukaryota,A,18,1.6668896291288154e-14,expected
Eukaryota,A,18,3,empirical
Eukaryota,A,19,1.1573105551994023e-15,expected
Eukaryota,A,19,2,empirical
Eukaryota,A,20,8.040056503536825e-17,expected
Eukaryota,A,20,2,empirical
Eukaryota,A,21,5.589124406395955e-18,expected
Eukaryota,A,21,0,empirical
Eukaryota,A,22,3.8875083261012925e-19,expected
Eukaryota,A,22,0,empirical
Eukaryota,A,23,2.705424711347041e-20,expected
Eukaryota,A,23,0,empirical
Eukaryota,A,24,1.8837669782375042e-21,expected
Eukaryota,A,24,1,empirical
Eukaryota,A,25,1.3123427517144233e-22,expected
Eukaryota,A,25,0,empirical
Eukaryota,A,26,9.146981907977898e-24,expected
Eukaryota,A,26,0,empirical
Eukaryota,A,27,6.378199498797414e-25,expected
Eukaryota,A,27,0,empirical
Eukaryota,A,28,4.449210103497646e-26,expected
Eukaryota,A,28,0,empirical
Eukaryota,A,29,3.104745518959068e-27,expected
Eukaryota,A,29,0,empirical
Eukaryota,A,30,2.1673239003766845e-28,expected
Eukaryota,A,30,0,empirical
Eukaryota,A,31,1.5134402211741637e-29,expected
Eukaryota,A,31,0,empirical
Eukaryota,A,32,1.0571408869174927e-30,expected
Eukaryota,A,32,0,empirical
Eukaryota,A,33,7.386135735476554e-32,expected
Eukaryota,A,33,0,empirical
Eukaryota,A,34,5.1621680438117604e-33,expected
Eukaryota,A,34,0,empirical
Eukaryota,A,35,3.608801141832439e-34,expected
Eukaryota,A,35,0,empirical
Eukaryota,A,36,2.523486683815903e-35,expected
Eukaryota,A,36,0,empirical
Eukaryota,A,37,1.765037851859214e-36,expected
Eukaryota,A,37,0,empirical
Eukaryota,A,38,1.2348139091104676e-37,expected
Eukaryota,A,38,0,empirical
Eukaryota,A,39,8.641008578178526e-39,expected
Eukaryota,A,39,0,empirical
Eukaryota,A,40,6.048365427765549e-40,expected
Eukaryota,A,40,0,empirical
Eukaryota,A,41,4.234642414884533e-41,expected
Eukaryota,A,41,0,empirical
Eukaryota,A,42,2.9654840614834273e-42,expected
Eukaryota,A,42,0,empirical
Eukaryota,A,43,2.077190377529537e-43,expected
Eukaryota,A,43,0,empirical
Eukaryota,A,44,1.455263537842956e-44,expected
Eukaryota,A,44,0,empirical
Eukaryota,A,45,1.0197539281548618e-45,expected
Eukaryota,A,45,0,empirical
Eukaryota,A,46,7.14716728740589e-47,expected
Eukaryota,A,46,0,empirical
Eukaryota,A,47,5.010367956034733e-48,expected
Eukaryota,A,47,0,empirical
Eukaryota,A,48,3.513056980939677e-49,expected
Eukaryota,A,48,0,empirical
Eukaryota,A,49,2.463649494573929e-50,expected
Eukaryota,A,49,0,empirical
Eukaryota,A,50,1.7280116462793288e-51,expected
Eukaryota,A,50,0,empirical
Eukaryota,B,1,59.006023526598206,expected
Eukaryota,B,1,50,empirical
Eukaryota,B,2,0.00019936681231377153,expected
Eukaryota,B,2,1,empirical
Eukaryota,B,3,6.795970150082434e-10,expected
Eukaryota,B,3,1,empirical
Eukaryota,B,4,2.3262049144815453e-15,expected
Eukaryota,B,4,1,empirical
Eukaryota,B,5,7.99142088483004e-21,expected
Eukaryota,B,5,0,empirical
Eukaryota,B,6,2.755873075433008e-26,expected
Eukaryota,B,6,0,empirical
Eukaryota,B,7,9.530387533228214e-32,expected
Eukaryota,B,7,0,empirical
Eukaryota,B,8,3.303756940035852e-37,expected
Eukaryota,B,8,0,empirical
Eukaryota,B,9,1.1476112526015994e-42,expected
Eukaryota,B,9,0,empirical
Eukaryota,B,10,3.993120138109301e-48,expected
Eukaryota,B,10,0,empirical
Eukaryota,B,11,1.391316077610959e-53,expected
