Kingdom,aa,n,count,type
Bacteria,A,1,7468499.895745902,expected
Bacteria,A,1,7280254,empirical
Bacteria,A,2,703602.2245206563,expected
Bacteria,A,2,753053,empirical
Bacteria,A,3,66385.79054209578,expected
Bacteria,A,3,87664,empirical
Bacteria,A,4,6266.533669884075,expected
Bacteria,A,4,10253,empirical
Bacteria,A,5,591.6552498318038,expected
Bacteria,A,5,1922,empirical
Bacteria,A,6,55.86682203280728,expected
Bacteria,A,6,284,empirical
Bacteria,A,7,5.275461786524361,expected
Bacteria,A,7,120,empirical
Bacteria,A,8,0.49816965116157674,expected
Bacteria,A,8,3,empirical
Bacteria,A,9,0.04704311433409817,expected
Bacteria,A,9,1,empirical
Bacteria,A,10,0.00444238760717776,expected
Bacteria,A,10,1,empirical
Bacteria,A,11,0.0004195049469486215,expected
Bacteria,A,11,0,empirical
Bacteria,A,12,3.9614765188548826e-05,expected
Bacteria,A,12,0,empirical
Bacteria,A,13,3.7408810192245606e-06,expected
Bacteria,A,13,0,empirical
Bacteria,A,14,3.53258967179251e-07,expected
Bacteria,A,14,0,empirical
Bacteria,A,15,3.335907685269252e-08,expected
Bacteria,A,15,0,empirical
Bacteria,A,16,3.150193549651858e-09,expected
Bacteria,A,16,0,empirical
Bacteria,A,17,2.974848571331091e-10,expected
Bacteria,A,17,0,empirical
Bacteria,A,18,2.8092853901638577e-11,expected
Bacteria,A,18,0,empirical
Bacteria,A,19,2.652947878180376e-12,expected
Bacteria,A,19,0,empirical
Bacteria,A,20,2.505325005653567e-13,expected
Bacteria,A,20,0,empirical
Bacteria,A,21,2.3659253075681074e-14,expected
Bacteria,A,21,0,empirical
Bacteria,A,22,2.2343069016356396e-15,expected
Bacteria,A,22,0,empirical
Bacteria,A,23,2.110006104026111e-16,expected
Bacteria,A,23,0,empirical
Bacteria,A,24,1.9926375120180793e-17,expected
Bacteria,A,24,0,empirical
Bacteria,A,25,1.881805659990091e-18,expected
Bacteria,A,25,0,empirical
Bacteria,A,26,1.7771443608158462e-19,expected
Bacteria,A,26,0,empirical
Bacteria,A,27,1.6783100681960303e-20,expected
Bacteria,A,27,0,empirical
Bacteria,A,28,1.584979674016524e-21,expected
Bacteria,A,28,0,empirical
Bacteria,A,29,1.4968359030657623e-22,expected
Bacteria,A,29,0,empirical
Bacteria,A,30,1.4135950258232822e-23,expected
Bacteria,A,30,0,empirical
