Kingdom,aa,n,count,type
Archaea,A,1,346322.8806332808,expected
Archaea,A,1,339174,empirical
Archaea,A,2,26747.782969903194,expected
Archaea,A,2,28328,empirical
Archaea,A,3,2067.802506483109,expected
Archaea,A,3,3000,empirical
Archaea,A,4,159.89901568592413,expected
Archaea,A,4,408,empirical
Archaea,A,5,12.365894808901103,expected
Archaea,A,5,48,empirical
Archaea,A,6,0.9563193774420278,expected
Archaea,A,6,4,empirical
Archaea,A,7,0.07395497743313119,expected
Archaea,A,7,0,empirical
Archaea,A,8,0.005718989163036839,expected
Archaea,A,8,0,empirical
Archaea,A,9,0.0004422401570793598,expected
Archaea,A,9,0,empirical
Archaea,A,10,3.419756450161472e-05,expected
Archaea,A,10,0,empirical
Archaea,A,11,2.644427142130974e-06,expected
Archaea,A,11,0,empirical
Archaea,A,12,2.0448826834307107e-07,expected
Archaea,A,12,0,empirical
Archaea,A,13,1.581270665365808e-08,expected
Archaea,A,13,0,empirical
Archaea,A,14,1.2227616298880422e-09,expected
Archaea,A,14,0,empirical
Archaea,A,15,9.455424427533456e-11,expected
Archaea,A,15,0,empirical
Archaea,A,16,7.311821111246244e-12,expected
Archaea,A,16,0,empirical
Archaea,A,17,5.654172697412721e-13,expected
Archaea,A,17,0,empirical
Archaea,A,18,4.372315088458919e-14,expected
Archaea,A,18,0,empirical
Archaea,A,19,3.3810829028943484e-15,expected
Archaea,A,19,0,empirical
Archaea,A,20,2.614572705886176e-16,expected
Archaea,A,20,0,empirical
Archaea,A,21,2.0218202379660035e-17,expected
Archaea,A,21,0,empirical
Archaea,A,22,1.563448560124478e-18,expected
Archaea,A,22,0,empirical
Archaea,A,23,1.208987057518129e-19,expected
Archaea,A,23,0,empirical
Archaea,A,24,9.348870258173927e-21,expected
Archaea,A,24,0,empirical
Archaea,A,25,7.22928874147386e-22,expected
Archaea,A,25,0,empirical
Archaea,A,26,5.590283878016428e-23,expected
Archaea,A,26,0,empirical
Archaea,A,27,4.322898965327462e-24,expected
Archaea,A,27,0,empirical
Archaea,A,28,3.342889241837536e-25,expected
Archaea,A,28,0,empirical
Archaea,A,29,2.585048262868119e-26,expected
Archaea,A,29,0,empirical
Archaea,A,30,1.9990030226025642e-27,expected
Archaea,A,30,0,empirical
Archaea,A,31,1.5458029739106226e-28,expected
Archaea,A,31,0,empirical
Archaea,A,32,1.1953397017704353e-29,expected
Archaea,A,32,0,empirical
Archaea,A,33,9.243223951831113e-31,expected
Archaea,A,33,0,empirical
Archaea,A,34,7.147448019434588e-32,expected
Archaea,A,34,0,empirical
Archaea,A,35,5.526825126649008e-33,expected
Archaea,A,35,0,empirical
Archaea,A,36,4.273637920529625e-34,expected
Archaea,A,36,0,empirical
Archaea,A,37,3.3045877369777697e-35,expected
Archaea,A,37,0,empirical
Archaea,A,38,2.555222332476458e-36,expected
Archaea,A,38,0,empirical
Archaea,A,39,1.9757852387537788e-37,expected
Archaea,A,39,0,empirical
Archaea,A,40,1.5277351439530498e-38,expected
Archaea,A,40,0,empirical
Archaea,A,41,1.1812867195653007e-39,expected
Archaea,A,41,0,empirical
Archaea,A,42,9.134104700927138e-41,expected
Archaea,A,42,0,empirical
Archaea,A,43,7.062748957576021e-42,expected
Archaea,A,43,0,empirical
Archaea,A,44,5.461066918321773e-43,expected
Archaea,A,44,0,empirical
Archaea,A,45,4.2225643796945143e-44,expected
Archaea,A,45,0,empirical
Archaea,A,46,3.2648923345950185e-45,expected
Archaea,A,46,0,empirical
Archaea,A,47,2.5243757958975848e-46,expected
Archaea,A,47,0,empirical
Archaea,A,48,1.9517872159246447e-47,expected
Archaea,A,48,0,empirical
Archaea,A,49,1.5090681225645875e-48,expected
Archaea,A,49,0,empirical
Archaea,A,50,1.1667660309231456e-49,expected
Archaea,A,50,0,empirical
Archaea,B,1,0.0,expected
Archaea,B,1,0,empirical
Archaea,B,2,0.0,expected
Archaea,B,2,0,empirical
Archaea,B,3,0.0,expected
Archaea,B,3,0,empirical
Archaea,B,4,0.0,expected
Archaea,B,4,0,empirical
Archaea,B,5,0.0,expected
Archaea,B,5,0,empirical
Archaea,B,6,0.0,expected
Archaea,B,6,0,empirical
Archaea,B,7,0.0,expected
Archaea,B,7,0,empirical
Archaea,B,8,0.0,expected
Archaea,B,8,0,empirical
Archaea,B,9,0.0,expected
Archaea,B,9,0,empirical
Archaea,B,10,0.0,expected
Archaea,B,10,0,empirical
Archaea,B,11,0.0,expected
Archaea,B,11,0,empirical
Archaea,B,12,0.0,expected
Archaea,B,12,0,empirical
Archaea,B,13,0.0,expected
Archaea,B,13,0,empirical
Archaea,B,14,0.0,expected
Archaea,B,14,0,empirical
Archaea,B,15,0.0,expected
Archaea,B,15,0,empirical
Archaea,B,16,0.0,expected
Archaea,B,16,0,empirical
Archaea,B,17,0.0,expected
Archaea,B,17,0,empirical
Archaea,B,18,0.0,expected
Archaea,B,18,0,empirical
Archaea,B,19,0.0,expected
Archaea,B,19,0,empirical
Archaea,B,20,0.0,expected
Archaea,B,20,0,empirical
Archaea,B,21,0.0,expected
Archaea,B,21,0,empirical
Archaea,B,22,0.0,expected
Archaea,B,22,0,empirical
Archaea,B,23,0.0,expected
Archaea,B,23,0,empirical
Archaea,B,24,0.0,expected
Archaea,B,24,0,empirical
Archaea,B,25,0.0,expected
Archaea,B,25,0,empirical
Archaea,B,26,0.0,expected
Archaea,B,26,0,empirical
Archaea,B,27,0.0,expected
Archaea,B,27,0,empirical
Archaea,B,28,0.0,expected
Archaea,B,28,0,empirical
Archaea,B,29,0.0,expected
Archaea,B,29,0,empirical
Archaea,B,30,0.0,expected
Archaea,B,30,0,empirical
Archaea,B,31,0.0,expected
Archaea,B,31,0,empirical
Archaea,B,32,0.0,expected
Archaea,B,32,0,empirical
Archaea,B,33,0.0,expected
Archaea,B,33,0,empirical
Archaea,B,34,0.0,expected
Archaea,B,34,0,empirical
Archaea,B,35,0.0,expected
Archaea,B,35,0,empirical
Archaea,B,36,0.0,expected
Archaea,B,36,0,empirical
Archaea,B,37,0.0,expected
Archaea,B,37,0,empirical
Archaea,B,38,0.0,expected
Archaea,B,38,0,empirical
Archaea,B,39,0.0,expected
Archaea,B,39,0,empirical
Archaea,B,40,0.0,expected
Archaea,B,40,0,empirical
Archaea,B,41,0.0,expected
Archaea,B,41,0,empirical
Archaea,B,42,0.0,expected
Archaea,B,42,0,empirical
Archaea,B,43,0.0,expected
Archaea,B,43,0,empirical
Archaea,B,44,0.0,expected
