Kingdom,aa,n,count,type
Eukaryota,A,1,1235870.5631615045,expected
Eukaryota,A,1,1181862,empirical
Eukaryota,A,2,61694.37390536117,expected
Eukaryota,A,2,79873,empirical
Eukaryota,A,3,3080.007789107218,expected
Eukaryota,A,3,7309,empirical
Eukaryota,A,4,153.54111256174812,expected
Eukaryota,A,4,1052,empirical
Eukaryota,A,5,7.632677177634489,expected
Eukaryota,A,5,208,empirical
Eukaryota,A,6,0.3781341791575919,expected
Eukaryota,A,6,41,empirical
Eukaryota,A,7,0.01866626832820739,expected
Eukaryota,A,7,2,empirical
Eukaryota,A,8,0.0009193193715211215,expected
Eukaryota,A,8,0,empirical
Eukaryota,A,9,4.5248692371495814e-05,expected
Eukaryota,A,9,0,empirical
Eukaryota,A,10,2.227221064587836e-06,expected
Eukaryota,A,10,0,empirical
Eukaryota,A,11,1.0980004408204943e-07,expected
Eukaryota,A,11,0,empirical
Eukaryota,A,12,5.434200021909766e-09,expected
Eukaryota,A,12,0,empirical
Eukaryota,A,13,2.70678157260872e-10,expected
Eukaryota,A,13,0,empirical
Eukaryota,A,14,1.3564686019374362e-11,expected
Eukaryota,A,14,0,empirical
Eukaryota,A,15,6.830384437865505e-13,expected
Eukaryota,A,15,0,empirical
Eukaryota,A,16,3.449037390420738e-14,expected
Eukaryota,A,16,0,empirical
Eukaryota,A,17,1.7435606167659669e-15,expected
Eukaryota,A,17,0,empirical
Eukaryota,A,18,8.812807330611695e-17,expected
Eukaryota,A,18,0,empirical
Eukaryota,A,19,4.46201858576551e-18,expected
Eukaryota,A,19,0,empirical
Eukaryota,A,20,2.263174685959083e-19,expected
Eukaryota,A,20,0,empirical
Eukaryota,A,21,1.1502337642398259e-20,expected
Eukaryota,A,21,0,empirical
Eukaryota,A,22,5.856534288882641e-22,expected
Eukaryota,A,22,0,empirical
Eukaryota,A,23,2.987513778072359e-23,expected
Eukaryota,A,23,0,empirical
Eukaryota,A,24,1.5269702470058263e-24,expected
Eukaryota,A,24,0,empirical
Eukaryota,A,25,7.822502972336184e-26,expected
Eukaryota,A,25,0,empirical
Eukaryota,A,26,4.01690152242218e-27,expected
Eukaryota,A,26,0,empirical
Eukaryota,A,27,2.067328954292647e-28,expected
Eukaryota,A,27,0,empirical
Eukaryota,A,28,1.0660710463039429e-29,expected
Eukaryota,A,28,0,empirical
Eukaryota,A,29,5.503738450972917e-31,expected
Eukaryota,A,29,0,empirical
Eukaryota,A,30,2.8430428502061913e-32,expected
Eukaryota,A,30,0,empirical
Eukaryota,A,31,1.4698406071084118e-33,expected
Eukaryota,A,31,0,empirical
Eukaryota,A,32,7.606002506924915e-35,expected
Eukaryota,A,32,0,empirical
Eukaryota,A,33,3.9394865323025005e-36,expected
Eukaryota,A,33,0,empirical
Eukaryota,A,34,2.0418459315476794e-37,expected
Eukaryota,A,34,0,empirical
Eukaryota,A,35,1.0590998554229351e-38,expected
Eukaryota,A,35,0,empirical
Eukaryota,A,36,5.497616877753673e-40,expected
Eukaryota,A,36,0,empirical
Eukaryota,A,37,2.8552823059140303e-41,expected
Eukaryota,A,37,0,empirical
Eukaryota,A,38,1.4838241549613345e-42,expected
Eukaryota,A,38,0,empirical
Eukaryota,A,39,7.716821880713478e-44,expected
Eukaryota,A,39,0,empirical
Eukaryota,A,40,4.015681852812274e-45,expected
Eukaryota,A,40,0,empirical
Eukaryota,A,41,2.0910760236451867e-46,expected
Eukaryota,A,41,0,empirical
Eukaryota,A,42,1.089739762977686e-47,expected
Eukaryota,A,42,0,empirical
Eukaryota,A,43,5.683017924422824e-49,expected
Eukaryota,A,43,0,empirical
Eukaryota,A,44,2.9658193319240047e-50,expected
Eukaryota,A,44,0,empirical
Eukaryota,A,45,1.548784182978246e-51,expected
Eukaryota,A,45,0,empirical
Eukaryota,A,46,8.093819877308927e-53,expected
Eukaryota,A,46,0,empirical
Eukaryota,A,47,4.2331708596001984e-54,expected
Eukaryota,A,47,0,empirical
Eukaryota,A,48,2.2155364572615488e-55,expected
Eukaryota,A,48,0,empirical
Eukaryota,A,49,1.160371198604941e-56,expected
Eukaryota,A,49,0,empirical
Eukaryota,A,50,6.0807688934518046e-58,expected
Eukaryota,A,50,0,empirical
Eukaryota,B,1,93.00691423136148,expected
Eukaryota,B,1,86,empirical
Eukaryota,B,2,0.0003153927779755016,expected
Eukaryota,B,2,2,empirical
Eukaryota,B,3,1.0694308644479483e-09,expected
Eukaryota,B,3,1,empirical
Eukaryota,B,4,3.6204419509175026e-15,expected
Eukaryota,B,4,0,empirical
Eukaryota,B,5,1.2221502311449842e-20,expected
Eukaryota,B,5,0,empirical
Eukaryota,B,6,4.111516993197175e-26,expected
Eukaryota,B,6,0,empirical
Eukaryota,B,7,1.3784189344247e-31,expected
Eukaryota,B,7,0,empirical
Eukaryota,B,8,4.611376963655066e-37,expected
Eukaryota,B,8,0,empirical
Eukaryota,B,9,1.5418547677508974e-42,expected
Eukaryota,B,9,0,empirical
Eukaryota,B,10,5.1563869253712546e-48,expected
Eukaryota,B,10,0,empirical
Eukaryota,B,11,1.7275671965694032e-53,expected
Eukaryota,B,11,0,empirical
Eukaryota,B,12,5.811974533865978e-59,expected
Eukaryota,B,12,0,empirical
Eukaryota,B,13,1.967796100674041e-64,expected
Eukaryota,B,13,0,empirical
Eukaryota,B,14,6.702168320771621e-70,expected
Eukaryota,B,14,0,empirical
Eukaryota,B,15,2.293189071092658e-75,expected
Eukaryota,B,15,0,empirical
Eukaryota,B,16,7.86694871553481e-81,expected
Eukaryota,B,16,0,empirical
Eukaryota,B,17,2.7015382639556096e-86,expected
Eukaryota,B,17,0,empirical
Eukaryota,B,18,9.277551319946944e-92,expected
Eukaryota,B,18,0,empirical
Eukaryota,B,19,3.1915331042224945e-97,expected
Eukaryota,B,19,0,empirical
Eukaryota,B,20,1.0998804351253436e-102,expected
Eukaryota,B,20,0,empirical
Eukaryota,B,21,3.7980786673197536e-108,expected
Eukaryota,B,21,0,empirical
Eukaryota,B,22,1.3139301802386405e-113,expected
Eukaryota,B,22,0,empirical
Eukaryota,B,23,4.55407534451058e-119,expected
Eukaryota,B,23,0,empirical
Eukaryota,B,24,1.5815913720494183e-124,expected
Eukaryota,B,24,0,empirical
Eukaryota,B,25,5.5053660080306795e-130,expected
Eukaryota,B,25,0,empirical
Eukaryota,B,26,1.9208870731622704e-135,expected
Eukaryota,B,26,0,empirical
Eukaryota,B,27,6.71701320563341e-141,expected
Eukaryota,B,27,0,empirical
Eukaryota,B,28,2.3532635079493056e-146,expected
Eukaryota,B,28,0,empirical
Eukaryota,B,29,8.25347103711565e-152,expected
Eukaryota,B,29,0,empirical
Eukaryota,B,30,2.896461723934591e-157,expected
Eukaryota,B,30,0,empirical
Eukaryota,B,31,1.017335003543485e-162,expected
Eukaryota,B,31,0,empirical
Eukaryota,B,32,3.5765032666059215e-168,expected
Eukaryota,B,32,0,empirical
Eukaryota,B,33,1.2584637132424471e-173,expected
Eukaryota,B,33,0,empirical
Eukaryota,B,34,4.4312469976649176e-179,expected
Eukaryota,B,34,0,empirical
Eukaryota,B,35,1.561494544778404e-184,expected
Eukaryota,B,35,0,empirical
Eukaryota,B,36,5.506429370056842e-190,expected
Eukaryota,B,36,0,empirical
Eukaryota,B,37,1.942850506509933e-195,expected
Eukaryota,B,37,0,empirical
Eukaryota,B,38,6.859201261277246e-201,expected
Eukaryota,B,38,0,empirical
Eukaryota,B,39,2.4233980064637068e-206,expected
Eukaryota,B,39,0,empirical
Eukaryota,B,40,8.567293977537885e-212,expected
Eukaryota,B,40,0,empirical
Eukaryota,B,41,3.0308006167300516e-217,expected
Eukaryota,B,41,0,empirical
Eukaryota,B,42,1.0730244011060564e-222,expected
Eukaryota,B,42,0,empirical
Eukaryota,B,43,3.801592199701539e-228,expected
Eukaryota,B,43,0,empirical
Eukaryota,B,44,1.3478087819810737e-233,expected
Eukaryota,B,44,0,empirical
Eukaryota,B,45,4.781624762956567e-239,expected
Eukaryota,B,45,0,empirical
Eukaryota,B,46,1.6976264923261997e-244,expected
Eukaryota,B,46,0,empirical
Eukaryota,B,47,6.031891040781991e-250,expected
Eukaryota,B,47,0,empirical
Eukaryota,B,48,2.144695691234902e-255,expected
Eukaryota,B,48,0,empirical
Eukaryota,B,49,7.630927453058835e-261,expected
Eukaryota,B,49,0,empirical
Eukaryota,B,50,2.716703624892837e-266,expected
Eukaryota,B,50,0,empirical
Eukaryota,C,1,268994.77572926343,expected
Eukaryota,C,1,261643,empirical
Eukaryota,C,2,2691.7969865952336,expected
Eukaryota,C,2,6208,empirical
Eukaryota,C,3,26.935093511297865,expected
Eukaryota,C,3,118,empirical
Eukaryota,C,4,0.2691000230865854,expected
Eukaryota,C,4,5,empirical
Eukaryota,C,5,0.002680821325684512,expected
Eukaryota,C,5,1,empirical
Eukaryota,C,6,2.6615627233007427e-05,expected
Eukaryota,C,6,0,empirical
Eukaryota,C,7,2.633272272200002e-07,expected
Eukaryota,C,7,0,empirical
Eukaryota,C,8,2.599627996691045e-09,expected
Eukaryota,C,8,0,empirical
Eukaryota,C,9,2.5649779567727243e-11,expected
Eukaryota,C,9,0,empirical
Eukaryota,C,10,2.531228550420383e-13,expected
Eukaryota,C,10,0,empirical
Eukaryota,C,11,2.502339379231181e-15,expected
Eukaryota,C,11,0,empirical
Eukaryota,C,12,2.4839370275980193e-17,expected
Eukaryota,C,12,0,empirical
Eukaryota,C,13,2.481452825546276e-19,expected
Eukaryota,C,13,0,empirical
Eukaryota,C,14,2.4938021518086433e-21,expected
Eukaryota,C,14,0,empirical
Eukaryota,C,15,2.5178185806489876e-23,expected
Eukaryota,C,15,0,empirical
Eukaryota,C,16,2.548843529679832e-25,expected
Eukaryota,C,16,0,empirical
Eukaryota,C,17,2.582908348039403e-27,expected
Eukaryota,C,17,0,empirical
Eukaryota,C,18,2.6174434208426547e-29,expected
Eukaryota,C,18,0,empirical
Eukaryota,C,19,2.656981847979884e-31,expected
Eukaryota,C,19,0,empirical
Eukaryota,C,20,2.7019546893740218e-33,expected
Eukaryota,C,20,0,empirical
Eukaryota,C,21,2.7532241400560854e-35,expected
Eukaryota,C,21,0,empirical
Eukaryota,C,22,2.8105692264049718e-37,expected
Eukaryota,C,22,0,empirical
Eukaryota,C,23,2.8745218127401582e-39,expected
Eukaryota,C,23,0,empirical
Eukaryota,C,24,2.9457799603565133e-41,expected
Eukaryota,C,24,0,empirical
Eukaryota,C,25,3.025744385776107e-43,expected
Eukaryota,C,25,0,empirical
Eukaryota,C,26,3.1152233682997006e-45,expected
Eukaryota,C,26,0,empirical
Eukaryota,C,27,3.2144576601255864e-47,expected
Eukaryota,C,27,0,empirical
Eukaryota,C,28,3.3231770884767773e-49,expected
Eukaryota,C,28,0,empirical
Eukaryota,C,29,3.4393416579211334e-51,expected
Eukaryota,C,29,0,empirical
Eukaryota,C,30,3.561723015627779e-53,expected
Eukaryota,C,30,0,empirical
Eukaryota,C,31,3.691554507599253e-55,expected
Eukaryota,C,31,0,empirical
Eukaryota,C,32,3.829632392801816e-57,expected
Eukaryota,C,32,0,empirical
Eukaryota,C,33,3.976436916108601e-59,expected
Eukaryota,C,33,0,empirical
Eukaryota,C,34,4.131747175236676e-61,expected
Eukaryota,C,34,0,empirical
Eukaryota,C,35,4.296382299835278e-63,expected
Eukaryota,C,35,0,empirical
Eukaryota,C,36,4.4708364109879206e-65,expected
Eukaryota,C,36,0,empirical
Eukaryota,C,37,4.654937144020761e-67,expected
Eukaryota,C,37,0,empirical
