Kingdom,aa,n,count,type
Eukaryota,A,1,3511701.840283031,expected
Eukaryota,A,1,3319967,empirical
Eukaryota,A,2,254097.48589999357,expected
Eukaryota,A,2,299586,empirical
Eukaryota,A,3,18456.57811668715,expected
Eukaryota,A,3,36323,empirical
Eukaryota,A,4,1342.1244253107113,expected
Eukaryota,A,4,6250,empirical
Eukaryota,A,5,97.63047996918635,expected
Eukaryota,A,5,1914,empirical
Eukaryota,A,6,7.103927009616747,expected
Eukaryota,A,6,917,empirical
Eukaryota,A,7,0.5170804032211156,expected
Eukaryota,A,7,481,empirical
Eukaryota,A,8,0.03764978536639162,expected
Eukaryota,A,8,303,empirical
Eukaryota,A,9,0.002742701589834364,expected
Eukaryota,A,9,215,empirical
Eukaryota,A,10,0.0001999358321156407,expected
Eukaryota,A,10,117,empirical
Eukaryota,A,11,1.458478378204864e-05,expected
Eukaryota,A,11,83,empirical
Eukaryota,A,12,1.0646651724405863e-06,expected
Eukaryota,A,12,59,empirical
Eukaryota,A,13,7.777305714274662e-08,expected
Eukaryota,A,13,48,empirical
Eukaryota,A,14,5.684670291452975e-09,expected
Eukaryota,A,14,42,empirical
Eukaryota,A,15,4.1572226484855636e-10,expected
Eukaryota,A,15,22,empirical
Eukaryota,A,16,3.041517039980617e-11,expected
Eukaryota,A,16,23,empirical
Eukaryota,A,17,2.22602770385043e-12,expected
Eukaryota,A,17,5,empirical
Eukaryota,A,18,1.629642256282852e-13,expected
Eukaryota,A,18,4,empirical
Eukaryota,A,19,1.1934342423174742e-14,expected
Eukaryota,A,19,4,empirical
Eukaryota,A,20,8.742343997532799e-16,expected
Eukaryota,A,20,3,empirical
Eukaryota,A,21,6.405924993620663e-17,expected
Eukaryota,A,21,0,empirical
Eukaryota,A,22,4.69516330375148e-18,expected
Eukaryota,A,22,0,empirical
Eukaryota,A,23,3.442188133221532e-19,expected
Eukaryota,A,23,0,empirical
Eukaryota,A,24,2.5242472052599517e-20,expected
Eukaryota,A,24,1,empirical
Eukaryota,A,25,1.851553689909085e-21,expected
Eukaryota,A,25,0,empirical
Eukaryota,A,26,1.358475671331337e-22,expected
Eukaryota,A,26,0,empirical
Eukaryota,A,27,9.96916011502834e-24,expected
Eukaryota,A,27,0,empirical
Eukaryota,A,28,7.3171437348974725e-25,expected
Eukaryota,A,28,0,empirical
