Kingdom,aa,n,count,type
Viruses,A,1,349413.2783466994,expected
Viruses,A,1,333344,empirical
Viruses,A,2,22311.525553808457,expected
Viruses,A,2,27885,empirical
Viruses,A,3,1424.7470860528424,expected
Viruses,A,3,2665,empirical
Viruses,A,4,90.97612908293809,expected
Viruses,A,4,280,empirical
Viruses,A,5,5.809259484007484,expected
Viruses,A,5,52,empirical
Viruses,A,6,0.3709679521217981,expected
Viruses,A,6,25,empirical
Viruses,A,7,0.02369065296133156,expected
Viruses,A,7,4,empirical
Viruses,A,8,0.0015130718179504352,expected
Viruses,A,8,2,empirical
Viruses,A,9,9.664633722441434e-05,expected
Viruses,A,9,2,empirical
Viruses,A,10,6.1739066753407606e-06,expected
Viruses,A,10,0,empirical
Viruses,A,11,3.94448819133778e-07,expected
Viruses,A,11,0,empirical
Viruses,A,12,2.5204813496058416e-08,expected
Viruses,A,12,0,empirical
Viruses,A,13,1.6107544754963642e-09,expected
Viruses,A,13,0,empirical
Viruses,A,14,1.0295074662835689e-10,expected
Viruses,A,14,0,empirical
Viruses,A,15,6.580877302995601e-12,expected
Viruses,A,15,0,empirical
Viruses,A,16,4.2072704954590216e-13,expected
Viruses,A,16,0,empirical
Viruses,A,17,2.690122160260056e-14,expected
Viruses,A,17,0,empirical
Viruses,A,18,1.7202733308915071e-15,expected
Viruses,A,18,0,empirical
Viruses,A,19,1.1001993383733367e-16,expected
Viruses,A,19,0,empirical
Viruses,A,20,7.037188782783702e-18,expected
Viruses,A,20,0,empirical
Viruses,A,21,4.501683579216698e-19,expected
Viruses,A,21,0,empirical
Viruses,A,22,2.880046434168872e-20,expected
Viruses,A,22,0,empirical
Viruses,A,23,1.8427653448361786e-21,expected
Viruses,A,23,0,empirical
Viruses,A,24,1.1791886980731437e-22,expected
Viruses,A,24,0,empirical
Viruses,A,25,7.546396389494112e-24,expected
Viruses,A,25,0,empirical
Viruses,A,26,4.82986457553554e-25,expected
Viruses,A,26,0,empirical
Viruses,A,27,3.0915262065281203e-26,expected
Viruses,A,27,0,empirical
Viruses,A,28,1.9789753368780794e-27,expected
Viruses,A,28,0,empirical
Viruses,A,29,1.2669228203318088e-28,expected
Viruses,A,29,0,empirical
Viruses,A,30,8.111394374393247e-30,expected
Viruses,A,30,0,empirical
Viruses,A,31,5.1936458271617225e-31,expected
Viruses,A,31,0,empirical
Viruses,A,32,3.325717185678601e-32,expected
Viruses,A,32,0,empirical
Viruses,A,33,2.1297879652405404e-33,expected
Viruses,A,33,0,empirical
Viruses,A,34,1.3640145001152513e-34,expected
Viruses,A,34,0,empirical
Viruses,A,35,8.73643508415501e-36,expected
Viruses,A,35,0,empirical
Viruses,A,36,5.596058244797203e-37,expected
Viruses,A,36,0,empirical
Viruses,A,37,3.584755283016544e-38,expected
Viruses,A,37,0,empirical
Viruses,A,38,2.2965034066798483e-39,expected
Viruses,A,38,0,empirical
Viruses,A,39,1.4713011546881695e-40,expected
Viruses,A,39,0,empirical
Viruses,A,40,9.426597710986922e-42,expected
Viruses,A,40,0,empirical
Viruses,A,41,6.0398889023505664e-43,expected
Viruses,A,41,0,empirical
Viruses,A,42,3.870120790637737e-44,expected
Viruses,A,42,0,empirical
Viruses,A,43,2.479966001359807e-45,expected
Viruses,A,43,0,empirical
Viruses,A,44,1.589235367902322e-46,expected
Viruses,A,44,0,empirical
Viruses,A,45,1.018477565553548e-47,expected
Viruses,A,45,0,empirical
Viruses,A,46,6.527267389256828e-49,expected
Viruses,A,46,0,empirical
Viruses,A,47,4.1833208163547705e-50,expected
Viruses,A,47,0,empirical
Viruses,A,48,2.6811947508678116e-51,expected
Viruses,A,48,0,empirical
Viruses,A,49,1.718534155582527e-52,expected
Viruses,A,49,0,empirical
Viruses,A,50,1.1015710788581353e-53,expected
Viruses,A,50,0,empirical
Viruses,B,1,2.000023430028663,expected
Viruses,B,1,2,empirical
Viruses,B,2,6.406335901042374e-07,expected
Viruses,B,2,0,empirical
Viruses,B,3,2.0521005015158218e-13,expected
Viruses,B,3,0,empirical
Viruses,B,4,6.573122319507789e-20,expected
Viruses,B,4,0,empirical
Viruses,B,5,2.1054784524791969e-26,expected
Viruses,B,5,0,empirical
Viruses,B,6,6.744545988031021e-33,expected
