Kingdom,aa,n,count,type
Bacteria,A,1,547821.6948232237,expected
Bacteria,A,1,519839,empirical
Bacteria,A,2,42488.91161745939,expected
Bacteria,A,2,50158,empirical
Bacteria,A,3,3488.6814431879866,expected
Bacteria,A,3,6380,empirical
Bacteria,A,4,295.8332953294941,expected
Bacteria,A,4,891,empirical
Bacteria,A,5,25.545137472198288,expected
Bacteria,A,5,250,empirical
Bacteria,A,6,2.2323643993943363,expected
Bacteria,A,6,45,empirical
Bacteria,A,7,0.19681656621800295,expected
Bacteria,A,7,19,empirical
Bacteria,A,8,0.017483150827655197,expected
Bacteria,A,8,6,empirical
Bacteria,A,9,0.0015622199018006722,expected
Bacteria,A,9,3,empirical
Bacteria,A,10,0.00014019827857840502,expected
Bacteria,A,10,0,empirical
Bacteria,A,11,1.262813358943901e-05,expected
Bacteria,A,11,0,empirical
Bacteria,A,12,1.1405574116773148e-06,expected
Bacteria,A,12,0,empirical
Bacteria,A,13,1.0322996082517867e-07,expected
Bacteria,A,13,0,empirical
Bacteria,A,14,9.368530960513336e-09,expected
Bacteria,A,14,0,empirical
Bacteria,A,15,8.519989641554194e-10,expected
Bacteria,A,15,0,empirical
Bacteria,A,16,7.764860114350736e-11,expected
Bacteria,A,16,0,empirical
Bacteria,A,17,7.090539184296397e-12,expected
Bacteria,A,17,0,empirical
Bacteria,A,18,6.489801387549561e-13,expected
Bacteria,A,18,0,empirical
Bacteria,A,19,5.951791273354159e-14,expected
Bacteria,A,19,0,empirical
Bacteria,A,20,5.466856461001127e-15,expected
Bacteria,A,20,0,empirical
Bacteria,A,21,5.03017154719174e-16,expected
Bacteria,A,21,0,empirical
Bacteria,A,22,4.63634136932282e-17,expected
Bacteria,A,22,0,empirical
Bacteria,A,23,4.280630522375791e-18,expected
Bacteria,A,23,0,empirical
Bacteria,A,24,3.9612744111199325e-19,expected
Bacteria,A,24,0,empirical
Bacteria,A,25,3.67384399948375e-20,expected
Bacteria,A,25,0,empirical
Bacteria,A,26,3.415667614045831e-21,expected
Bacteria,A,26,0,empirical
Bacteria,A,27,3.1827420868761877e-22,expected
Bacteria,A,27,0,empirical
Bacteria,A,28,2.970736823381065e-23,expected
Bacteria,A,28,0,empirical
Bacteria,A,29,2.777846477091582e-24,expected
Bacteria,A,29,0,empirical
Bacteria,A,30,2.6014289645033284e-25,expected
Bacteria,A,30,0,empirical
Bacteria,A,31,2.439437137707949e-26,expected
Bacteria,A,31,0,empirical
Bacteria,A,32,2.290209030472625e-27,expected
Bacteria,A,32,0,empirical
