Kingdom,aa,n,count,type
Archaea,A,1,348033.4620286298,expected
Archaea,A,1,339951,empirical
Archaea,A,2,26624.896783185468,expected
Archaea,A,2,28311,empirical
Archaea,A,3,2041.5124815986148,expected
Archaea,A,3,3121,empirical
Archaea,A,4,156.72749508450755,expected
Archaea,A,4,441,empirical
Archaea,A,5,12.03985900070104,expected
Archaea,A,5,67,empirical
Archaea,A,6,0.9253076538029454,expected
Archaea,A,6,11,empirical
Archaea,A,7,0.07113429352179647,expected
Archaea,A,7,0,empirical
Archaea,A,8,0.0054698973266347215,expected
Archaea,A,8,0,empirical
Archaea,A,9,0.0004206906851511775,expected
Archaea,A,9,0,empirical
Archaea,A,10,3.2359870469187616e-05,expected
Archaea,A,10,0,empirical
Archaea,A,11,2.489423650246091e-06,expected
Archaea,A,11,0,empirical
Archaea,A,12,1.9152777929804626e-07,expected
Archaea,A,12,0,empirical
Archaea,A,13,1.4736544357525879e-08,expected
Archaea,A,13,0,empirical
Archaea,A,14,1.1339318124931098e-09,expected
Archaea,A,14,0,empirical
Archaea,A,15,8.725714192078269e-11,expected
Archaea,A,15,0,empirical
Archaea,A,16,6.714817610553302e-12,expected
Archaea,A,16,0,empirical
Archaea,A,17,5.167526872569344e-13,expected
Archaea,A,17,0,empirical
Archaea,A,18,3.976887594375695e-14,expected
Archaea,A,18,0,empirical
Archaea,A,19,3.0606221444793925e-15,expected
Archaea,A,19,0,empirical
Archaea,A,20,2.35548396297997e-16,expected
Archaea,A,20,0,empirical
Archaea,A,21,1.8127977761210737e-17,expected
Archaea,A,21,0,empirical
Archaea,A,22,1.3951347756224121e-18,expected
Archaea,A,22,0,empirical
Archaea,A,23,1.0736671781439189e-19,expected
Archaea,A,23,0,empirical
Archaea,A,24,8.263299915829119e-21,expected
Archaea,A,24,0,empirical
Archaea,A,25,6.360146088450445e-22,expected
Archaea,A,25,0,empirical
Archaea,A,26,4.8956322330121625e-23,expected
Archaea,A,26,0,empirical
Archaea,A,27,3.7685449148249524e-24,expected
Archaea,A,27,0,empirical
Archaea,A,28,2.901110608582308e-25,expected
Archaea,A,28,0,empirical
Archaea,A,29,2.2334736836339348e-26,expected
Archaea,A,29,0,empirical
Archaea,A,30,1.7195298257201546e-27,expected
Archaea,A,30,0,empirical
Archaea,A,31,1.3239098931135258e-28,expected
Archaea,A,31,0,empirical
Archaea,A,32,1.0193464229387612e-29,expected
Archaea,A,32,0,empirical
Archaea,A,33,7.848739550016043e-31,expected
Archaea,A,33,0,empirical
Archaea,A,34,6.043528671852899e-32,expected
Archaea,A,34,0,empirical
Archaea,A,35,4.6536133507853394e-33,expected
Archaea,A,35,0,empirical
Archaea,A,36,3.5834388478274026e-34,expected
Archaea,A,36,0,empirical
Archaea,A,37,2.759447507697974e-35,expected
Archaea,A,37,0,empirical
Archaea,A,38,2.1249577565756862e-36,expected
Archaea,A,38,0,empirical
Archaea,A,39,1.6363970364582424e-37,expected
Archaea,A,39,0,empirical
Archaea,A,40,1.2601696288749705e-38,expected
Archaea,A,40,0,empirical
Archaea,A,41,9.704655420637101e-40,expected
Archaea,A,41,0,empirical
Archaea,A,42,7.473666775025994e-41,expected
Archaea,A,42,0,empirical
Archaea,A,43,5.755705224129067e-42,expected
Archaea,A,43,0,empirical
Archaea,A,44,4.432815604408839e-43,expected
Archaea,A,44,0,empirical
Archaea,A,45,3.41401198491371e-44,expected
Archaea,A,45,0,empirical
Archaea,A,46,2.6294069530685516e-45,expected
Archaea,A,46,0,empirical
