Kingdom,aa,n,count,type
Archaea,A,1,24109.54562754287,expected
Archaea,A,1,22890,empirical
Archaea,A,2,1360.0108692250462,expected
Archaea,A,2,1677,empirical
Archaea,A,3,77.65139008103502,expected
Archaea,A,3,230,empirical
Archaea,A,4,4.433885197099693,expected
Archaea,A,4,29,empirical
Archaea,A,5,0.25330870134318717,expected
Archaea,A,5,5,empirical
Archaea,A,6,0.014550143020340515,expected
Archaea,A,6,1,empirical
Archaea,A,7,0.0008479536109363096,expected
Archaea,A,7,0,empirical
Archaea,A,8,5.0441105214332235e-05,expected
Archaea,A,8,0,empirical
Archaea,A,9,3.0609047244418246e-06,expected
Archaea,A,9,0,empirical
Archaea,A,10,1.8909849050713217e-07,expected
Archaea,A,10,0,empirical
Archaea,A,11,1.1877618884627978e-08,expected
Archaea,A,11,0,empirical
Archaea,A,12,7.523011482994337e-10,expected
Archaea,A,12,0,empirical
Archaea,A,13,4.7743259007067537e-11,expected
Archaea,A,13,0,empirical
Archaea,A,14,3.0326853002580482e-12,expected
Archaea,A,14,0,empirical
Archaea,A,15,1.9285483664384933e-13,expected
Archaea,A,15,0,empirical
Archaea,A,16,1.2262935998150922e-14,expected
Archaea,A,16,0,empirical
Archaea,A,17,7.80200431463164e-16,expected
Archaea,A,17,0,empirical
Archaea,A,18,4.9634222576600344e-17,expected
Archaea,A,18,0,empirical
Archaea,A,19,3.161067949356971e-18,expected
Archaea,A,19,0,empirical
Archaea,A,20,2.0132664104652468e-19,expected
Archaea,A,20,0,empirical
Archaea,A,21,1.2816937655819884e-20,expected
Archaea,A,21,0,empirical
Archaea,A,22,8.168842196047303e-22,expected
Archaea,A,22,0,empirical
Archaea,A,23,5.2177822410311084e-23,expected
Archaea,A,23,0,empirical
Archaea,A,24,3.337364060720038e-24,expected
Archaea,A,24,0,empirical
Archaea,A,25,2.1378545411700382e-25,expected
Archaea,A,25,0,empirical
Archaea,A,26,1.370710154635694e-26,expected
Archaea,A,26,0,empirical
Archaea,A,27,8.799934639147568e-28,expected
Archaea,A,27,0,empirical
Archaea,A,28,5.658359811223746e-29,expected
Archaea,A,28,0,empirical
Archaea,A,29,3.6381717722870346e-30,expected
Archaea,A,29,0,empirical
Archaea,A,30,2.33838536949323e-31,expected
Archaea,A,30,0,empirical
Archaea,A,31,1.5039590503183771e-32,expected
Archaea,A,31,0,empirical
Archaea,A,32,9.6737484238093e-34,expected
Archaea,A,32,0,empirical
Archaea,A,33,6.220430798354216e-35,expected
Archaea,A,33,0,empirical
Archaea,A,34,4.00871450763108e-36,expected
Archaea,A,34,0,empirical
Archaea,A,35,2.5845168981395638e-37,expected
Archaea,A,35,0,empirical
Archaea,A,36,1.6672955497149893e-38,expected
Archaea,A,36,0,empirical
Archaea,A,37,1.0770577806578893e-39,expected
Archaea,A,37,0,empirical
Archaea,A,38,6.962820395021727e-41,expected
Archaea,A,38,0,empirical
Archaea,A,39,4.502469429707854e-42,expected
Archaea,A,39,0,empirical
Archaea,A,40,2.9232146470494223e-43,expected
Archaea,A,40,0,empirical
Archaea,A,41,1.8958107130574825e-44,expected
Archaea,A,41,0,empirical
Archaea,A,42,1.2303629123051481e-45,expected
Archaea,A,42,0,empirical
Archaea,A,43,7.979766919505566e-47,expected
Archaea,A,43,0,empirical
Archaea,A,44,5.18337933582499e-48,expected
Archaea,A,44,0,empirical
Archaea,A,45,3.3793179275845445e-49,expected
Archaea,A,45,0,empirical
Archaea,A,46,2.206344783225991e-50,expected
Archaea,A,46,0,empirical
Archaea,A,47,1.438909181571182e-51,expected
Archaea,A,47,0,empirical
Archaea,A,48,9.392519065855783e-53,expected
Archaea,A,48,0,empirical
Archaea,A,49,6.139044507624244e-54,expected
Archaea,A,49,0,empirical
Archaea,A,50,4.015137038885665e-55,expected
Archaea,A,50,0,empirical
Archaea,B,1,0.0,expected
Archaea,B,1,0,empirical
Archaea,B,2,0.0,expected
Archaea,B,2,0,empirical
Archaea,B,3,0.0,expected
Archaea,B,3,0,empirical
Archaea,B,4,0.0,expected
Archaea,B,4,0,empirical
Archaea,B,5,0.0,expected
Archaea,B,5,0,empirical
Archaea,B,6,0.0,expected
Archaea,B,6,0,empirical
Archaea,B,7,0.0,expected
Archaea,B,7,0,empirical
Archaea,B,8,0.0,expected
Archaea,B,8,0,empirical
Archaea,B,9,0.0,expected
Archaea,B,9,0,empirical
Archaea,B,10,0.0,expected
Archaea,B,10,0,empirical
Archaea,B,11,0.0,expected
Archaea,B,11,0,empirical
Archaea,B,12,0.0,expected
Archaea,B,12,0,empirical
Archaea,B,13,0.0,expected
Archaea,B,13,0,empirical
Archaea,B,14,0.0,expected
Archaea,B,14,0,empirical
Archaea,B,15,0.0,expected
Archaea,B,15,0,empirical
Archaea,B,16,0.0,expected
Archaea,B,16,0,empirical
Archaea,B,17,0.0,expected
Archaea,B,17,0,empirical
Archaea,B,18,0.0,expected
Archaea,B,18,0,empirical
Archaea,B,19,0.0,expected
Archaea,B,19,0,empirical
Archaea,B,20,0.0,expected
Archaea,B,20,0,empirical
Archaea,B,21,0.0,expected
Archaea,B,21,0,empirical
Archaea,B,22,0.0,expected
Archaea,B,22,0,empirical
Archaea,B,23,0.0,expected
Archaea,B,23,0,empirical
Archaea,B,24,0.0,expected
Archaea,B,24,0,empirical
Archaea,B,25,0.0,expected
Archaea,B,25,0,empirical
Archaea,B,26,0.0,expected
Archaea,B,26,0,empirical
Archaea,B,27,0.0,expected
Archaea,B,27,0,empirical
Archaea,B,28,0.0,expected
Archaea,B,28,0,empirical
Archaea,B,29,0.0,expected
Archaea,B,29,0,empirical
Archaea,B,30,0.0,expected
Archaea,B,30,0,empirical
Archaea,B,31,0.0,expected
Archaea,B,31,0,empirical
Archaea,B,32,0.0,expected
Archaea,B,32,0,empirical
Archaea,B,33,0.0,expected
Archaea,B,33,0,empirical
Archaea,B,34,0.0,expected
Archaea,B,34,0,empirical
Archaea,B,35,0.0,expected
Archaea,B,35,0,empirical
Archaea,B,36,0.0,expected
Archaea,B,36,0,empirical
Archaea,B,37,0.0,expected
Archaea,B,37,0,empirical
Archaea,B,38,0.0,expected
Archaea,B,38,0,empirical
Archaea,B,39,0.0,expected
Archaea,B,39,0,empirical
Archaea,B,40,0.0,expected
Archaea,B,40,0,empirical
Archaea,B,41,0.0,expected
Archaea,B,41,0,empirical
Archaea,B,42,0.0,expected
Archaea,B,42,0,empirical
Archaea,B,43,0.0,expected
Archaea,B,43,0,empirical
Archaea,B,44,0.0,expected
Archaea,B,44,0,empirical
Archaea,B,45,0.0,expected
Archaea,B,45,0,empirical
Archaea,B,46,0.0,expected
Archaea,B,46,0,empirical
Archaea,B,47,0.0,expected
Archaea,B,47,0,empirical
Archaea,B,48,0.0,expected
Archaea,B,48,0,empirical
Archaea,B,49,0.0,expected
Archaea,B,49,0,empirical
Archaea,B,50,0.0,expected
Archaea,B,50,0,empirical
Archaea,C,1,1261.3305755694814,expected
Archaea,C,1,1240,empirical
Archaea,C,2,3.335739113997864,expected
Archaea,C,2,14,empirical
Archaea,C,3,0.008917855994466407,expected
Archaea,C,3,0,empirical
Archaea,C,4,2.384516905391422e-05,expected
Archaea,C,4,0,empirical
Archaea,C,5,6.383147093695896e-08,expected
Archaea,C,5,0,empirical
Archaea,C,6,1.719782098913118e-10,expected
Archaea,C,6,0,empirical
Archaea,C,7,4.70434280331582e-13,expected
Archaea,C,7,0,empirical
Archaea,C,8,1.3134606825257081e-15,expected
Archaea,C,8,0,empirical
Archaea,C,9,3.740239938889598e-18,expected
Archaea,C,9,0,empirical
Archaea,C,10,1.0840891641559826e-20,expected
Archaea,C,10,0,empirical
Archaea,C,11,3.1914959911554094e-23,expected
Archaea,C,11,0,empirical
Archaea,C,12,9.467096906437996e-26,expected
Archaea,C,12,0,empirical
Archaea,C,13,2.8134780358156327e-28,expected
Archaea,C,13,0,empirical
Archaea,C,14,8.36894397376928e-31,expected
Archaea,C,14,0,empirical
Archaea,C,15,2.491876382185937e-33,expected
Archaea,C,15,0,empirical
Archaea,C,16,7.419493076072744e-36,expected
Archaea,C,16,0,empirical
Archaea,C,17,2.2102501658892354e-38,expected
Archaea,C,17,0,empirical
Archaea,C,18,6.584569984392376e-41,expected
Archaea,C,18,0,empirical
Archaea,C,19,1.9635177476558213e-43,expected
Archaea,C,19,0,empirical
Archaea,C,20,5.8551952395069806e-46,expected
Archaea,C,20,0,empirical
Archaea,C,21,1.7456142096263594e-48,expected
Archaea,C,21,0,empirical
Archaea,C,22,5.2107296171288534e-51,expected
Archaea,C,22,0,empirical
Archaea,C,23,1.558678011386819e-53,expected
Archaea,C,23,0,empirical
Archaea,C,24,4.668866988773e-56,expected
Archaea,C,24,0,empirical
Archaea,C,25,1.4005359095389149e-58,expected
Archaea,C,25,0,empirical
Archaea,C,26,4.205243745823685e-61,expected
Archaea,C,26,0,empirical
Archaea,C,27,1.2643283256491154e-63,expected
Archaea,C,27,0,empirical
Archaea,C,28,3.8064648397190815e-66,expected
Archaea,C,28,0,empirical
Archaea,C,29,1.1459171798226318e-68,expected
Archaea,C,29,0,empirical
Archaea,C,30,3.4488575749601674e-71,expected
Archaea,C,30,0,empirical
Archaea,C,31,1.0386131307057001e-73,expected
Archaea,C,31,0,empirical
Archaea,C,32,3.127967527307053e-76,expected
Archaea,C,32,0,empirical
Archaea,C,33,9.420182460979951e-79,expected
Archaea,C,33,0,empirical
Archaea,C,34,2.842658526099867e-81,expected
Archaea,C,34,0,empirical
Archaea,C,35,8.582058426523407e-84,expected
Archaea,C,35,0,empirical
Archaea,C,36,2.592710752286368e-86,expected
Archaea,C,36,0,empirical
Archaea,C,37,7.842893758472023e-89,expected
Archaea,C,37,0,empirical
Archaea,C,38,2.3741641482243912e-91,expected
Archaea,C,38,0,empirical
Archaea,C,39,7.191760151170011e-94,expected
Archaea,C,39,0,empirical
Archaea,C,40,2.185977813784473e-96,expected
Archaea,C,40,0,empirical
Archaea,C,41,6.6384805386673156e-99,expected
Archaea,C,41,0,empirical
Archaea,C,42,2.0171439071379643e-101,expected
Archaea,C,42,0,empirical
Archaea,C,43,6.126992053197644e-104,expected
Archaea,C,43,0,empirical
Archaea,C,44,1.8643333960444306e-106,expected
Archaea,C,44,0,empirical
Archaea,C,45,5.692001188761343e-109,expected
Archaea,C,45,0,empirical
Archaea,C,46,1.7398443040129276e-111,expected
Archaea,C,46,0,empirical
Archaea,C,47,5.313476690515544e-114,expected
Archaea,C,47,0,empirical
Archaea,C,48,1.6242547510554595e-116,expected
Archaea,C,48,0,empirical
Archaea,C,49,4.97118721610269e-119,expected
Archaea,C,49,0,empirical
Archaea,C,50,1.5223047143353356e-121,expected
Archaea,C,50,0,empirical
Archaea,D,1,22094.132047191197,expected
Archaea,D,1,20716,empirical
Archaea,D,2,1129.579259124627,expected
Archaea,D,2,1608,empirical
Archaea,D,3,58.44558490797309,expected
Archaea,D,3,162,empirical
Archaea,D,4,3.0242587462374595,expected
Archaea,D,4,14,empirical
Archaea,D,5,0.15658259129160762,expected
Archaea,D,5,7,empirical
Archaea,D,6,0.008152048993661528,expected
Archaea,D,6,0,empirical
Archaea,D,7,0.0004306353535689485,expected
Archaea,D,7,1,empirical
Archaea,D,8,2.3219828756695065e-05,expected
Archaea,D,8,2,empirical
Archaea,D,9,1.2771797951635319e-06,expected
Archaea,D,9,1,empirical
Archaea,D,10,7.151709425828752e-08,expected
Archaea,D,10,0,empirical
Archaea,D,11,4.0712220853249046e-09,expected
Archaea,D,11,0,empirical
Archaea,D,12,2.3368231217364383e-10,expected
Archaea,D,12,0,empirical
Archaea,D,13,1.3439376449285836e-11,expected
Archaea,D,13,0,empirical
Archaea,D,14,7.73620726093283e-13,expected
Archaea,D,14,0,empirical
Archaea,D,15,4.45818982224378e-14,expected
Archaea,D,15,0,empirical
Archaea,D,16,2.568935286906909e-15,expected
Archaea,D,16,0,empirical
Archaea,D,17,1.4811272965667487e-16,expected
Archaea,D,17,0,empirical
Archaea,D,18,8.538882127897658e-18,expected
Archaea,D,18,0,empirical
Archaea,D,19,4.928119694721565e-19,expected
Archaea,D,19,0,empirical
Archaea,D,20,2.844293202451712e-20,expected
Archaea,D,20,0,empirical
