Kingdom,aa,n,count,type
Bacteria,A,1,7523371.433854316,expected
Bacteria,A,1,7324924,empirical
Bacteria,A,2,709953.5248808955,expected
Bacteria,A,2,761140,empirical
Bacteria,A,3,67098.99860300231,expected
Bacteria,A,3,89658,empirical
Bacteria,A,4,6346.575033433591,expected
Bacteria,A,4,10903,empirical
Bacteria,A,5,600.5506457504213,expected
Bacteria,A,5,2096,empirical
Bacteria,A,6,56.84306814887686,expected
Bacteria,A,6,329,empirical
Bacteria,A,7,5.381290637953131,expected
Bacteria,A,7,126,empirical
Bacteria,A,8,0.5095234664772503,expected
Bacteria,A,8,17,empirical
Bacteria,A,9,0.048249764825701355,expected
Bacteria,A,9,2,empirical
Bacteria,A,10,0.004569471992740305,expected
Bacteria,A,10,1,empirical
Bacteria,A,11,0.00043277566277204747,expected
Bacteria,A,11,0,empirical
Bacteria,A,12,4.09906173831945e-05,expected
Bacteria,A,12,0,empirical
Bacteria,A,13,3.882557046613356e-06,expected
Bacteria,A,13,0,empirical
Bacteria,A,14,3.67756270371483e-07,expected
Bacteria,A,14,0,empirical
Bacteria,A,15,3.483458671530112e-08,expected
Bacteria,A,15,0,empirical
Bacteria,A,16,3.2996064090543575e-09,expected
Bacteria,A,16,0,empirical
Bacteria,A,17,3.1254377104130224e-10,expected
Bacteria,A,17,0,empirical
Bacteria,A,18,2.9604354220968576e-11,expected
Bacteria,A,18,0,empirical
Bacteria,A,19,2.8041024797831993e-12,expected
Bacteria,A,19,0,empirical
Bacteria,A,20,2.6559666432345503e-13,expected
Bacteria,A,20,0,empirical
Bacteria,A,21,2.5155662797288355e-14,expected
Bacteria,A,21,0,empirical
Bacteria,A,22,2.38262717568177e-15,expected
Bacteria,A,22,0,empirical
Bacteria,A,23,2.2567266742236227e-16,expected
Bacteria,A,23,0,empirical
Bacteria,A,24,2.1374811028997735e-17,expected
Bacteria,A,24,0,empirical
Bacteria,A,25,2.0245239327961565e-18,expected
Bacteria,A,25,0,empirical
Bacteria,A,26,1.9175161016337386e-19,expected
Bacteria,A,26,0,empirical
Bacteria,A,27,1.8161448278664196e-20,expected
Bacteria,A,27,0,empirical
Bacteria,A,28,1.720102187706056e-21,expected
Bacteria,A,28,0,empirical
Bacteria,A,29,1.6291242656299513e-22,expected
Bacteria,A,29,0,empirical
Bacteria,A,30,1.5429433803838086e-23,expected
Bacteria,A,30,0,empirical
Bacteria,A,31,1.4613143969817752e-24,expected
Bacteria,A,31,0,empirical
Bacteria,A,32,1.3839910385367091e-25,expected
Bacteria,A,32,0,empirical
Bacteria,A,33,1.3107476192071824e-26,expected
Bacteria,A,33,0,empirical
Bacteria,A,34,1.2413716275441504e-27,expected
Bacteria,A,34,0,empirical
Bacteria,A,35,1.1756588891567052e-28,expected
Bacteria,A,35,0,empirical
Bacteria,A,36,1.1134197281277105e-29,expected
Bacteria,A,36,0,empirical
Bacteria,A,37,1.0544649150422818e-30,expected
Bacteria,A,37,0,empirical
Bacteria,A,38,9.986282790392019e-32,expected
Bacteria,A,38,0,empirical
Bacteria,A,39,9.45750135764409e-33,expected
Bacteria,A,39,0,empirical
Bacteria,A,40,8.956664962495479e-34,expected
Bacteria,A,40,0,empirical
Bacteria,A,41,8.48230623459709e-35,expected
Bacteria,A,41,0,empirical
Bacteria,A,42,8.033046400855902e-36,expected
Bacteria,A,42,0,empirical
Bacteria,A,43,7.607563395118462e-37,expected
Bacteria,A,43,0,empirical
Bacteria,A,44,7.20463983914497e-38,expected
Bacteria,A,44,0,empirical
Bacteria,A,45,6.823045526462967e-39,expected
Bacteria,A,45,0,empirical
Bacteria,A,46,6.46162197462072e-40,expected
Bacteria,A,46,0,empirical
Bacteria,A,47,6.119343206938927e-41,expected
Bacteria,A,47,0,empirical
Bacteria,A,48,5.795208872768923e-42,expected
Bacteria,A,48,0,empirical
Bacteria,A,49,5.488247460653819e-43,expected
Bacteria,A,49,0,empirical
Bacteria,A,50,5.197512054078958e-44,expected
Bacteria,A,50,0,empirical
Bacteria,B,1,8.000049108965545,expected
Bacteria,B,1,8,empirical
Bacteria,B,2,6.585737144013402e-07,expected
Bacteria,B,2,0,empirical
Bacteria,B,3,5.42901750960616e-14,expected
Bacteria,B,3,0,empirical
Bacteria,B,4,4.478642655329616e-21,expected
Bacteria,B,4,0,empirical
Bacteria,B,5,3.6961108782374075e-28,expected
Bacteria,B,5,0,empirical
Bacteria,B,6,3.05108471342559e-35,expected
Bacteria,B,6,0,empirical
Bacteria,B,7,2.519079985924826e-42,expected
Bacteria,B,7,0,empirical
Bacteria,B,8,2.0801529488831452e-49,expected
Bacteria,B,8,0,empirical
Bacteria,B,9,1.7179046846361436e-56,expected
Bacteria,B,9,0,empirical
Bacteria,B,10,1.4188618221166197e-63,expected
Bacteria,B,10,0,empirical
Bacteria,B,11,1.1719432539138241e-70,expected
Bacteria,B,11,0,empirical
Bacteria,B,12,9.680447810718599e-78,expected
Bacteria,B,12,0,empirical
Bacteria,B,13,7.996418356192203e-85,expected
Bacteria,B,13,0,empirical
Bacteria,B,14,6.605476142464626e-92,expected
Bacteria,B,14,0,empirical
Bacteria,B,15,5.456568923937168e-99,expected
Bacteria,B,15,0,empirical
Bacteria,B,16,4.507496117085381e-106,expected
Bacteria,B,16,0,empirical
Bacteria,B,17,3.723471382490204e-113,expected
Bacteria,B,17,0,empirical
Bacteria,B,18,3.0757864254253373e-120,expected
Bacteria,B,18,0,empirical
Bacteria,B,19,2.540722510693357e-127,expected
Bacteria,B,19,0,empirical
Bacteria,B,20,2.098689599477338e-134,expected
Bacteria,B,20,0,empirical
Bacteria,B,21,1.733514912044777e-141,expected
Bacteria,B,21,0,empirical
Bacteria,B,22,1.4319017906418843e-148,expected
Bacteria,B,22,0,empirical
Bacteria,B,23,1.1827718077656263e-155,expected
Bacteria,B,23,0,empirical
Bacteria,B,24,9.769864315113121e-163,expected
Bacteria,B,24,0,empirical
Bacteria,B,25,8.069991313111887e-170,expected
Bacteria,B,25,0,empirical
Bacteria,B,26,6.665810903789436e-177,expected
Bacteria,B,26,0,empirical
Bacteria,B,27,5.505893596702526e-184,expected
Bacteria,B,27,0,empirical
Bacteria,B,28,4.54774020639482e-191,expected
Bacteria,B,28,0,empirical
Bacteria,B,29,3.756294654703759e-198,expected
Bacteria,B,29,0,empirical
Bacteria,B,30,3.1025572049257306e-205,expected
Bacteria,B,30,0,empirical
Bacteria,B,31,2.5625803723812666e-212,expected
Bacteria,B,31,0,empirical
Bacteria,B,32,2.1165629877622792e-219,expected
Bacteria,B,32,0,empirical
Bacteria,B,33,1.7481601619346396e-226,expected
Bacteria,B,33,0,empirical
Bacteria,B,34,1.4438702761160115e-233,expected
Bacteria,B,34,0,empirical
Bacteria,B,35,1.1925376321459959e-240,expected
Bacteria,B,35,0,empirical
Bacteria,B,36,9.849489328115712e-248,expected
Bacteria,B,36,0,empirical
Bacteria,B,37,8.134887313786583e-255,expected
Bacteria,B,37,0,empirical
Bacteria,B,38,6.718745735921942e-262,expected
Bacteria,B,38,0,empirical
Bacteria,B,39,5.54913236032227e-269,expected
Bacteria,B,39,0,empirical
Bacteria,B,40,4.58310085538685e-276,expected
Bacteria,B,40,0,empirical
Bacteria,B,41,3.785224496242218e-283,expected
Bacteria,B,41,0,empirical
Bacteria,B,42,3.126242629075502e-290,expected
Bacteria,B,42,0,empirical
Bacteria,B,43,2.5819811879069844e-297,expected
Bacteria,B,43,0,empirical
Bacteria,B,44,2.1324774033219544e-304,expected
Bacteria,B,44,0,empirical
Bacteria,B,45,1.761235734713e-311,expected
Bacteria,B,45,0,empirical
Bacteria,B,46,0.0,expected
Bacteria,B,46,0,empirical
Bacteria,B,47,0.0,expected
Bacteria,B,47,0,empirical
Bacteria,B,48,0.0,expected
Bacteria,B,48,0,empirical
Bacteria,B,49,0.0,expected
Bacteria,B,49,0,empirical
Bacteria,B,50,0.0,expected
Bacteria,B,50,0,empirical
Bacteria,C,1,949379.7837965136,expected
Bacteria,C,1,944764,empirical
Bacteria,C,2,9462.093808435156,expected
Bacteria,C,2,11718,empirical
Bacteria,C,3,94.4377472141552,expected
Bacteria,C,3,115,empirical
Bacteria,C,4,0.9432244163110458,expected
Bacteria,C,4,10,empirical
Bacteria,C,5,0.009424517546788113,expected
Bacteria,C,5,0,empirical
Bacteria,C,6,9.419211956129435e-05,expected
Bacteria,C,6,0,empirical
Bacteria,C,7,9.415614877774746e-07,expected
Bacteria,C,7,0,empirical
Bacteria,C,8,9.413448020675343e-09,expected
Bacteria,C,8,0,empirical
Bacteria,C,9,9.412381521217904e-11,expected
Bacteria,C,9,0,empirical
Bacteria,C,10,9.412127452921253e-13,expected
Bacteria,C,10,0,empirical
Bacteria,C,11,9.412426079198869e-15,expected
Bacteria,C,11,0,empirical
Bacteria,C,12,9.413214791961507e-17,expected
Bacteria,C,12,0,empirical
Bacteria,C,13,9.414247398480459e-19,expected
Bacteria,C,13,0,empirical
Bacteria,C,14,9.415466444692397e-21,expected
Bacteria,C,14,0,empirical
Bacteria,C,15,9.416838117706078e-23,expected
Bacteria,C,15,0,empirical
Bacteria,C,16,9.418215736434008e-25,expected
Bacteria,C,16,0,empirical
Bacteria,C,17,9.419527885569822e-27,expected
Bacteria,C,17,0,empirical
Bacteria,C,18,9.420743662500158e-29,expected
Bacteria,C,18,0,empirical
Bacteria,C,19,9.421806963190435e-31,expected
Bacteria,C,19,0,empirical
Bacteria,C,20,9.422652287924963e-33,expected
Bacteria,C,20,0,empirical
Bacteria,C,21,9.423238032464014e-35,expected
Bacteria,C,21,0,empirical
Bacteria,C,22,9.423961900558198e-37,expected
Bacteria,C,22,0,empirical
Bacteria,C,23,9.424731984537249e-39,expected
Bacteria,C,23,0,empirical
Bacteria,C,24,9.42549983123541e-41,expected
Bacteria,C,24,0,empirical
Bacteria,C,25,9.426202605522434e-43,expected
Bacteria,C,25,0,empirical
Bacteria,C,26,9.426805514981834e-45,expected
Bacteria,C,26,0,empirical
Bacteria,C,27,9.427298655874934e-47,expected
Bacteria,C,27,0,empirical
Bacteria,C,28,9.427638648754242e-49,expected
Bacteria,C,28,0,empirical
Bacteria,C,29,9.427895569203639e-51,expected
Bacteria,C,29,0,empirical
Bacteria,C,30,9.428068085587336e-53,expected
Bacteria,C,30,0,empirical
Bacteria,C,31,9.428188147143808e-55,expected
Bacteria,C,31,0,empirical
Bacteria,C,32,9.428221328034074e-57,expected
Bacteria,C,32,0,empirical
Bacteria,C,33,9.428174342219563e-59,expected
Bacteria,C,33,0,empirical
Bacteria,C,34,9.428060814484905e-61,expected
Bacteria,C,34,0,empirical
Bacteria,C,35,9.427880957263343e-63,expected
Bacteria,C,35,0,empirical
Bacteria,C,36,9.427651941272581e-65,expected
Bacteria,C,36,0,empirical
Bacteria,C,37,9.427339418809467e-67,expected
Bacteria,C,37,0,empirical
Bacteria,C,38,9.427001053750514e-69,expected
Bacteria,C,38,0,empirical
Bacteria,C,39,9.426668549500596e-71,expected
Bacteria,C,39,0,empirical
Bacteria,C,40,9.426280570661141e-73,expected
Bacteria,C,40,0,empirical
Bacteria,C,41,9.425846565041354e-75,expected
Bacteria,C,41,0,empirical
Bacteria,C,42,9.425386543797304e-77,expected
Bacteria,C,42,0,empirical
Bacteria,C,43,9.424911811822429e-79,expected
Bacteria,C,43,0,empirical
Bacteria,C,44,9.424459043476885e-81,expected
Bacteria,C,44,0,empirical
Bacteria,C,45,9.423985269727831e-83,expected
Bacteria,C,45,0,empirical
Bacteria,C,46,9.423462625139179e-85,expected
Bacteria,C,46,0,empirical
Bacteria,C,47,9.422942881350993e-87,expected
Bacteria,C,47,0,empirical
Bacteria,C,48,9.422441365102222e-89,expected
Bacteria,C,48,0,empirical
Bacteria,C,49,9.421936632053226e-91,expected
Bacteria,C,49,0,empirical
Bacteria,C,50,9.421379029960675e-93,expected
Bacteria,C,50,0,empirical
Bacteria,D,1,4895346.965567444,expected
Bacteria,D,1,4953530,empirical
Bacteria,D,2,277023.9077773188,expected
Bacteria,D,2,256140,empirical
Bacteria,D,3,15699.734565970388,expected
Bacteria,D,3,10771,empirical
Bacteria,D,4,890.4143574232562,expected
Bacteria,D,4,509,empirical
Bacteria,D,5,50.52113001972519,expected
Bacteria,D,5,23,empirical
Bacteria,D,6,2.8672701020132494,expected
Bacteria,D,6,3,empirical
Bacteria,D,7,0.16275865901891032,expected
Bacteria,D,7,0,empirical
Bacteria,D,8,0.009240320770655817,expected
Bacteria,D,8,0,empirical
Bacteria,D,9,0.0005246649771537204,expected
Bacteria,D,9,0,empirical
Bacteria,D,10,2.979310714287429e-05,expected
Bacteria,D,10,0,empirical
Bacteria,D,11,1.6919023813132717e-06,expected
Bacteria,D,11,0,empirical
Bacteria,D,12,9.60856577582585e-08,expected
Bacteria,D,12,0,empirical
Bacteria,D,13,5.456992399480292e-09,expected
Bacteria,D,13,0,empirical
Bacteria,D,14,3.0992518847973366e-10,expected
Bacteria,D,14,0,empirical
Bacteria,D,15,1.760224713522271e-11,expected
Bacteria,D,15,0,empirical
Bacteria,D,16,9.99723617541985e-13,expected
Bacteria,D,16,0,empirical
Bacteria,D,17,5.6779152129468956e-14,expected
Bacteria,D,17,0,empirical
Bacteria,D,18,3.2247322525968183e-15,expected
Bacteria,D,18,0,empirical
Bacteria,D,19,1.8314357553978244e-16,expected
Bacteria,D,19,0,empirical
Bacteria,D,20,1.0401114676112352e-17,expected
Bacteria,D,20,0,empirical
Bacteria,D,21,5.906826899273866e-19,expected
Bacteria,D,21,0,empirical
Bacteria,D,22,3.3545586890427225e-20,expected
Bacteria,D,22,0,empirical
Bacteria,D,23,1.905104903283246e-21,expected
Bacteria,D,23,0,empirical
Bacteria,D,24,1.0819385153068731e-22,expected
Bacteria,D,24,0,empirical
Bacteria,D,25,6.144455863360393e-24,expected
Bacteria,D,25,0,empirical
Bacteria,D,26,3.4894719937654933e-25,expected
Bacteria,D,26,0,empirical
Bacteria,D,27,1.9816691765432768e-26,expected
Bacteria,D,27,0,empirical
Bacteria,D,28,1.1253696723223906e-27,expected
Bacteria,D,28,0,empirical
Bacteria,D,29,6.390803155414823e-29,expected
Bacteria,D,29,0,empirical
Bacteria,D,30,3.629206120129067e-30,expected
Bacteria,D,30,0,empirical
Bacteria,D,31,2.060941068298859e-31,expected
Bacteria,D,31,0,empirical
Bacteria,D,32,1.1703492463292945e-32,expected
Bacteria,D,32,0,empirical
Bacteria,D,33,6.646019781379295e-34,expected
Bacteria,D,33,0,empirical
Bacteria,D,34,3.774024492203081e-35,expected
Bacteria,D,34,0,empirical
Bacteria,D,35,2.143110977686989e-36,expected
Bacteria,D,35,0,empirical
Bacteria,D,36,1.2169773840890666e-37,expected
Bacteria,D,36,0,empirical
Bacteria,D,37,6.910607686716325e-39,expected
Bacteria,D,37,0,empirical
Bacteria,D,38,3.9241773502999745e-40,expected
Bacteria,D,38,0,empirical
Bacteria,D,39,2.2283405944457601e-41,expected
Bacteria,D,39,0,empirical
Bacteria,D,40,1.2653536378949033e-42,expected
Bacteria,D,40,0,empirical
Bacteria,D,41,7.185219662555511e-44,expected
Bacteria,D,41,0,empirical
Bacteria,D,42,4.0800635827325887e-45,expected
Bacteria,D,42,0,empirical
Bacteria,D,43,2.316823549370209e-46,expected
Bacteria,D,43,0,empirical
Bacteria,D,44,1.315588890303969e-47,expected
Bacteria,D,44,0,empirical
Bacteria,D,45,7.470447203269772e-49,expected
Bacteria,D,45,0,empirical
Bacteria,D,46,4.241998486243938e-50,expected
Bacteria,D,46,0,empirical
Bacteria,D,47,2.4087652471585264e-51,expected
Bacteria,D,47,0,empirical
Bacteria,D,48,1.3677898615542191e-52,expected
Bacteria,D,48,0,empirical
Bacteria,D,49,7.766840191719655e-54,expected
Bacteria,D,49,0,empirical
Bacteria,D,50,4.410285971698999e-55,expected
Bacteria,D,50,0,empirical
Bacteria,E,1,5659699.633698201,expected
Bacteria,E,1,5638226,empirical
Bacteria,E,2,378482.41104580683,expected
Bacteria,E,2,393133,empirical
Bacteria,E,3,25348.162795370616,expected
Bacteria,E,3,23543,empirical
Bacteria,E,4,1698.9293828207517,expected
Bacteria,E,4,1157,empirical
Bacteria,E,5,113.9165281854616,expected
Bacteria,E,5,62,empirical
Bacteria,E,6,7.6403558872847555,expected
Bacteria,E,6,4,empirical
Bacteria,E,7,0.5125316379964571,expected
Bacteria,E,7,0,empirical
Bacteria,E,8,0.034387101873839844,expected
Bacteria,E,8,0,empirical
Bacteria,E,9,0.002307399884728626,expected
Bacteria,E,9,0,empirical
Bacteria,E,10,0.00015484213286111507,expected
Bacteria,E,10,0,empirical
Bacteria,E,11,1.0391572256762128e-05,expected
Bacteria,E,11,0,empirical
Bacteria,E,12,6.974248489502152e-07,expected
Bacteria,E,12,0,empirical
Bacteria,E,13,4.680854602849672e-08,expected
Bacteria,E,13,0,empirical
Bacteria,E,14,3.1416779242763696e-09,expected
Bacteria,E,14,0,empirical
Bacteria,E,15,2.1086575105596606e-10,expected
Bacteria,E,15,0,empirical
Bacteria,E,16,1.41530848607724e-11,expected
Bacteria,E,16,0,empirical
Bacteria,E,17,9.49933753599855e-13,expected
Bacteria,E,17,0,empirical
Bacteria,E,18,6.37575170837811e-14,expected
Bacteria,E,18,0,empirical
Bacteria,E,19,4.279202256587267e-15,expected
Bacteria,E,19,0,empirical
Bacteria,E,20,2.872000201617317e-16,expected
Bacteria,E,20,0,empirical
Bacteria,E,21,1.9274886428226286e-17,expected
Bacteria,E,21,0,empirical
Bacteria,E,22,1.2936180959409192e-18,expected
Bacteria,E,22,0,empirical
Bacteria,E,23,8.682059107057995e-20,expected
Bacteria,E,23,0,empirical
Bacteria,E,24,5.826927970557167e-21,expected
Bacteria,E,24,0,empirical
Bacteria,E,25,3.9106933334048035e-22,expected
Bacteria,E,25,0,empirical
Bacteria,E,26,2.624601193771134e-23,expected
Bacteria,E,26,0,empirical
