Kingdom,aa,n,count,type
Bacteria,A,1,1572254.5961554903,expected
Bacteria,A,1,1490723,empirical
Bacteria,A,2,153099.04958559107,expected
Bacteria,A,2,171814,empirical
Bacteria,A,3,14953.806575643875,expected
Bacteria,A,3,24550,empirical
Bacteria,A,4,1461.1422156495141,expected
Bacteria,A,4,3766,empirical
Bacteria,A,5,142.71704744874054,expected
Bacteria,A,5,991,empirical
Bacteria,A,6,13.930105035737435,expected
Bacteria,A,6,175,empirical
Bacteria,A,7,1.3582133026196712,expected
Bacteria,A,7,94,empirical
Bacteria,A,8,0.13227737214798777,expected
Bacteria,A,8,20,empirical
Bacteria,A,9,0.012865108479773889,expected
Bacteria,A,9,5,empirical
Bacteria,A,10,0.001249408182529171,expected
Bacteria,A,10,2,empirical
Bacteria,A,11,0.00012115301587650863,expected
Bacteria,A,11,0,empirical
Bacteria,A,12,1.1727539432873675e-05,expected
Bacteria,A,12,0,empirical
Bacteria,A,13,1.133379672047489e-06,expected
Bacteria,A,13,0,empirical
Bacteria,A,14,1.093488002270449e-07,expected
Bacteria,A,14,0,empirical
Bacteria,A,15,1.0533635675315332e-08,expected
Bacteria,A,15,0,empirical
Bacteria,A,16,1.0133402364541414e-09,expected
Bacteria,A,16,0,empirical
Bacteria,A,17,9.737139287927126e-11,expected
Bacteria,A,17,0,empirical
Bacteria,A,18,9.349522358820053e-12,expected
Bacteria,A,18,0,empirical
Bacteria,A,19,8.975028964082172e-13,expected
Bacteria,A,19,0,empirical
Bacteria,A,20,8.616390955295693e-14,expected
Bacteria,A,20,0,empirical
Bacteria,A,21,8.292548757374569e-15,expected
Bacteria,A,21,0,empirical
Bacteria,A,22,7.999936932422158e-16,expected
Bacteria,A,22,0,empirical
Bacteria,A,23,7.733570321474729e-17,expected
Bacteria,A,23,0,empirical
Bacteria,A,24,7.490770002824174e-18,expected
Bacteria,A,24,0,empirical
Bacteria,A,25,7.268473454458698e-19,expected
Bacteria,A,25,0,empirical
Bacteria,A,26,7.064962086400847e-20,expected
Bacteria,A,26,0,empirical
Bacteria,A,27,6.880426529186307e-21,expected
Bacteria,A,27,0,empirical
Bacteria,A,28,6.713412677005694e-22,expected
Bacteria,A,28,0,empirical
Bacteria,A,29,6.561205193255518e-23,expected
Bacteria,A,29,0,empirical
Bacteria,A,30,6.423525043065629e-24,expected
Bacteria,A,30,0,empirical
Bacteria,A,31,6.301326118768228e-25,expected
Bacteria,A,31,0,empirical
Bacteria,A,32,6.191658138962431e-26,expected
Bacteria,A,32,0,empirical
Bacteria,A,33,6.093980175120326e-27,expected
Bacteria,A,33,0,empirical
Bacteria,A,34,6.006855809000998e-28,expected
Bacteria,A,34,0,empirical
Bacteria,A,35,5.928655098186932e-29,expected
Bacteria,A,35,0,empirical
Bacteria,A,36,5.859063867981743e-30,expected
Bacteria,A,36,0,empirical
Bacteria,A,37,5.796671390244773e-31,expected
Bacteria,A,37,0,empirical
Bacteria,A,38,5.741841250567418e-32,expected
Bacteria,A,38,0,empirical
Bacteria,A,39,5.6926981165374094e-33,expected
Bacteria,A,39,0,empirical
Bacteria,A,40,5.648363298655052e-34,expected
Bacteria,A,40,0,empirical
Bacteria,A,41,5.609898945267147e-35,expected
Bacteria,A,41,0,empirical
Bacteria,A,42,5.579329307638284e-36,expected
Bacteria,A,42,0,empirical
Bacteria,A,43,5.5559585467993485e-37,expected
Bacteria,A,43,0,empirical
Bacteria,A,44,5.537764938177498e-38,expected
Bacteria,A,44,0,empirical
Bacteria,A,45,5.525381473712546e-39,expected
Bacteria,A,45,0,empirical
Bacteria,A,46,5.5190296747094195e-40,expected
Bacteria,A,46,0,empirical
Bacteria,A,47,5.518161974763675e-41,expected
Bacteria,A,47,0,empirical
Bacteria,A,48,5.5214746294634634e-42,expected
Bacteria,A,48,0,empirical
Bacteria,A,49,5.530408401469536e-43,expected
Bacteria,A,49,0,empirical
Bacteria,A,50,5.545562543844146e-44,expected
Bacteria,A,50,0,empirical
Bacteria,B,1,0.0,expected
Bacteria,B,1,0,empirical
Bacteria,B,2,0.0,expected
Bacteria,B,2,0,empirical
Bacteria,B,3,0.0,expected
Bacteria,B,3,0,empirical
Bacteria,B,4,0.0,expected
Bacteria,B,4,0,empirical
Bacteria,B,5,0.0,expected
Bacteria,B,5,0,empirical
Bacteria,B,6,0.0,expected
Bacteria,B,6,0,empirical
Bacteria,B,7,0.0,expected
Bacteria,B,7,0,empirical
Bacteria,B,8,0.0,expected
Bacteria,B,8,0,empirical
Bacteria,B,9,0.0,expected
Bacteria,B,9,0,empirical
Bacteria,B,10,0.0,expected
Bacteria,B,10,0,empirical
Bacteria,B,11,0.0,expected
Bacteria,B,11,0,empirical
Bacteria,B,12,0.0,expected
Bacteria,B,12,0,empirical
Bacteria,B,13,0.0,expected
Bacteria,B,13,0,empirical
Bacteria,B,14,0.0,expected
Bacteria,B,14,0,empirical
Bacteria,B,15,0.0,expected
Bacteria,B,15,0,empirical
Bacteria,B,16,0.0,expected
Bacteria,B,16,0,empirical
Bacteria,B,17,0.0,expected
Bacteria,B,17,0,empirical
Bacteria,B,18,0.0,expected
Bacteria,B,18,0,empirical
Bacteria,B,19,0.0,expected
Bacteria,B,19,0,empirical
Bacteria,B,20,0.0,expected
Bacteria,B,20,0,empirical
Bacteria,B,21,0.0,expected
Bacteria,B,21,0,empirical
Bacteria,B,22,0.0,expected
Bacteria,B,22,0,empirical
Bacteria,B,23,0.0,expected
Bacteria,B,23,0,empirical
Bacteria,B,24,0.0,expected
Bacteria,B,24,0,empirical
Bacteria,B,25,0.0,expected
Bacteria,B,25,0,empirical
Bacteria,B,26,0.0,expected
Bacteria,B,26,0,empirical
Bacteria,B,27,0.0,expected
Bacteria,B,27,0,empirical
Bacteria,B,28,0.0,expected
Bacteria,B,28,0,empirical
Bacteria,B,29,0.0,expected
Bacteria,B,29,0,empirical
Bacteria,B,30,0.0,expected
Bacteria,B,30,0,empirical
Bacteria,B,31,0.0,expected
Bacteria,B,31,0,empirical
Bacteria,B,32,0.0,expected
Bacteria,B,32,0,empirical
Bacteria,B,33,0.0,expected
Bacteria,B,33,0,empirical
Bacteria,B,34,0.0,expected
Bacteria,B,34,0,empirical
Bacteria,B,35,0.0,expected
Bacteria,B,35,0,empirical
Bacteria,B,36,0.0,expected
Bacteria,B,36,0,empirical
Bacteria,B,37,0.0,expected
Bacteria,B,37,0,empirical
Bacteria,B,38,0.0,expected
Bacteria,B,38,0,empirical
Bacteria,B,39,0.0,expected
Bacteria,B,39,0,empirical
Bacteria,B,40,0.0,expected
Bacteria,B,40,0,empirical
Bacteria,B,41,0.0,expected
Bacteria,B,41,0,empirical
Bacteria,B,42,0.0,expected
Bacteria,B,42,0,empirical
Bacteria,B,43,0.0,expected
Bacteria,B,43,0,empirical
Bacteria,B,44,0.0,expected
Bacteria,B,44,0,empirical
Bacteria,B,45,0.0,expected
Bacteria,B,45,0,empirical
Bacteria,B,46,0.0,expected
Bacteria,B,46,0,empirical
Bacteria,B,47,0.0,expected
Bacteria,B,47,0,empirical
Bacteria,B,48,0.0,expected
Bacteria,B,48,0,empirical
Bacteria,B,49,0.0,expected
Bacteria,B,49,0,empirical
Bacteria,B,50,0.0,expected
Bacteria,B,50,0,empirical
Bacteria,C,1,64910.104564508256,expected
Bacteria,C,1,64160,empirical
Bacteria,C,2,214.1102096647764,expected
Bacteria,C,2,576,empirical
Bacteria,C,3,0.7080646388632253,expected
Bacteria,C,3,8,empirical
Bacteria,C,4,0.0023421140963493813,expected
Bacteria,C,4,1,empirical
Bacteria,C,5,7.743815846738698e-06,expected
Bacteria,C,5,0,empirical
Bacteria,C,6,2.5583930632138604e-08,expected
Bacteria,C,6,0,empirical
Bacteria,C,7,8.44318972761082e-11,expected
Bacteria,C,7,0,empirical
Bacteria,C,8,2.783119279677398e-13,expected
Bacteria,C,8,0,empirical
Bacteria,C,9,9.161323384366366e-16,expected
Bacteria,C,9,0,empirical
Bacteria,C,10,3.011211494603718e-18,expected
Bacteria,C,10,0,empirical
Bacteria,C,11,9.882063093161624e-21,expected
Bacteria,C,11,0,empirical
Bacteria,C,12,3.2374726405721604e-23,expected
Bacteria,C,12,0,empirical
Bacteria,C,13,1.0589070011031405e-25,expected
Bacteria,C,13,0,empirical
Bacteria,C,14,3.4577397662007085e-28,expected
Bacteria,C,14,0,empirical
Bacteria,C,15,1.1273816701086347e-30,expected
Bacteria,C,15,0,empirical
Bacteria,C,16,3.6709896243480594e-33,expected
Bacteria,C,16,0,empirical
Bacteria,C,17,1.1940788208375436e-35,expected
Bacteria,C,17,0,empirical
Bacteria,C,18,3.8815796919222487e-38,expected
Bacteria,C,18,0,empirical
Bacteria,C,19,1.2616107060549272e-40,expected
Bacteria,C,19,0,empirical
Bacteria,C,20,4.10267505833863e-43,expected
Bacteria,C,20,0,empirical
Bacteria,C,21,1.3374335587143044e-45,expected
Bacteria,C,21,0,empirical
Bacteria,C,22,4.370058102837696e-48,expected
Bacteria,C,22,0,empirical
Bacteria,C,23,1.4308296052126815e-50,expected
Bacteria,C,23,0,empirical
Bacteria,C,24,4.693824866508517e-53,expected
Bacteria,C,24,0,empirical
Bacteria,C,25,1.5425348644627518e-55,expected
Bacteria,C,25,0,empirical
Bacteria,C,26,5.0781853500637266e-58,expected
Bacteria,C,26,0,empirical
Bacteria,C,27,1.675003593123043e-60,expected
Bacteria,C,27,0,empirical
Bacteria,C,28,5.535121246197582e-63,expected
Bacteria,C,28,0,empirical
Bacteria,C,29,1.832147434261859e-65,expected
Bacteria,C,29,0,empirical
Bacteria,C,30,6.0752082001273976e-68,expected
Bacteria,C,30,0,empirical
Bacteria,C,31,2.0183811792442537e-70,expected
Bacteria,C,31,0,empirical
Bacteria,C,32,6.716768409260842e-73,expected
Bacteria,C,32,0,empirical
Bacteria,C,33,2.238836189732251e-75,expected
Bacteria,C,33,0,empirical
Bacteria,C,34,7.473431103330194e-78,expected
Bacteria,C,34,0,empirical
Bacteria,C,35,2.4979206693524417e-80,expected
Bacteria,C,35,0,empirical
Bacteria,C,36,8.359604006906187e-83,expected
Bacteria,C,36,0,empirical
Bacteria,C,37,2.800759101726887e-85,expected
Bacteria,C,37,0,empirical
Bacteria,C,38,9.394280170178686e-88,expected
Bacteria,C,38,0,empirical
Bacteria,C,39,3.1538303691497975e-90,expected
Bacteria,C,39,0,empirical
Bacteria,C,40,1.0596721454388886e-92,expected
Bacteria,C,40,0,empirical
Bacteria,C,41,3.564196666936548e-95,expected
Bacteria,C,41,0,empirical
Bacteria,C,42,1.2004235074915818e-97,expected
Bacteria,C,42,0,empirical
Bacteria,C,43,4.047912577692354e-100,expected
Bacteria,C,43,0,empirical
