Kingdom,aa,n,count,type
Eukaryota,A,1,3091745.7759714196,expected
Eukaryota,A,1,2979943,empirical
Eukaryota,A,2,200707.25819736824,expected
Eukaryota,A,2,236562,empirical
Eukaryota,A,3,13037.948766003934,expected
Eukaryota,A,3,22763,empirical
Eukaryota,A,4,847.1373732358668,expected
Eukaryota,A,4,2645,empirical
Eukaryota,A,5,55.048451255785565,expected
Eukaryota,A,5,483,empirical
Eukaryota,A,6,3.5773646398657375,expected
Eukaryota,A,6,145,empirical
Eukaryota,A,7,0.2324837809321445,expected
Eukaryota,A,7,52,empirical
Eukaryota,A,8,0.015108552664492389,expected
Eukaryota,A,8,18,empirical
Eukaryota,A,9,0.0009818489332738434,expected
Eukaryota,A,9,6,empirical
Eukaryota,A,10,6.380508429125444e-05,expected
Eukaryota,A,10,4,empirical
Eukaryota,A,11,4.146232515464948e-06,expected
Eukaryota,A,11,2,empirical
Eukaryota,A,12,2.694252712579946e-07,expected
Eukaryota,A,12,0,empirical
Eukaryota,A,13,1.7506948376076963e-08,expected
Eukaryota,A,13,0,empirical
Eukaryota,A,14,1.1375515996592408e-09,expected
Eukaryota,A,14,1,empirical
Eukaryota,A,15,7.391318713413113e-11,expected
Eukaryota,A,15,0,empirical
Eukaryota,A,16,4.802415097855195e-12,expected
Eukaryota,A,16,0,empirical
Eukaryota,A,17,3.120263700501778e-13,expected
Eukaryota,A,17,0,empirical
Eukaryota,A,18,2.0273116493865517e-14,expected
Eukaryota,A,18,0,empirical
Eukaryota,A,19,1.317214241922501e-15,expected
Eukaryota,A,19,0,empirical
Eukaryota,A,20,8.558586454361159e-17,expected
Eukaryota,A,20,0,empirical
Eukaryota,A,21,5.561534470053026e-18,expected
Eukaryota,A,21,0,empirical
Eukaryota,A,22,3.6144310376993977e-19,expected
Eukaryota,A,22,0,empirical
Eukaryota,A,23,2.349283026653895e-20,expected
Eukaryota,A,23,0,empirical
Eukaryota,A,24,1.5271327043991601e-21,expected
Eukaryota,A,24,0,empirical
Eukaryota,A,25,9.927921370186253e-23,expected
Eukaryota,A,25,0,empirical
Eukaryota,A,26,6.4547261266313744e-24,expected
Eukaryota,A,26,0,empirical
Eukaryota,A,27,4.196946257394371e-25,expected
Eukaryota,A,27,0,empirical
Eukaryota,A,28,2.729125960669979e-26,expected
Eukaryota,A,28,0,empirical
Eukaryota,A,29,1.7747780579306963e-27,expected
Eukaryota,A,29,0,empirical
Eukaryota,A,30,1.1542552997448853e-28,expected
Eukaryota,A,30,0,empirical
Eukaryota,A,31,7.507412339391494e-30,expected
Eukaryota,A,31,0,empirical
Eukaryota,A,32,4.8832853832500305e-31,expected
Eukaryota,A,32,0,empirical
Eukaryota,A,33,3.176628563060451e-32,expected
Eukaryota,A,33,0,empirical
Eukaryota,A,34,2.0665821481101317e-33,expected
Eukaryota,A,34,0,empirical
Eukaryota,A,35,1.3445254033218202e-34,expected
Eukaryota,A,35,0,empirical
Eukaryota,A,36,8.74810351661129e-36,expected
Eukaryota,A,36,0,empirical
Eukaryota,A,37,5.692276159293509e-37,expected
Eukaryota,A,37,0,empirical
Eukaryota,A,38,3.704185561900107e-38,expected
Eukaryota,A,38,0,empirical
Eukaryota,A,39,2.410599004780899e-39,expected
Eukaryota,A,39,0,empirical
Eukaryota,A,40,1.568833988420471e-40,expected
Eukaryota,A,40,0,empirical
Eukaryota,A,41,1.0210568376914424e-41,expected
Eukaryota,A,41,0,empirical
Eukaryota,A,42,6.645749628521743e-43,expected
Eukaryota,A,42,0,empirical
Eukaryota,A,43,4.325769172191142e-44,expected
Eukaryota,A,43,0,empirical
Eukaryota,A,44,2.815829609471072e-45,expected
Eukaryota,A,44,0,empirical
Eukaryota,A,45,1.8330267354488514e-46,expected
Eukaryota,A,45,0,empirical
Eukaryota,A,46,1.193295729857856e-47,expected
Eukaryota,A,46,0,empirical
Eukaryota,A,47,7.768607952143525e-49,expected
Eukaryota,A,47,0,empirical
Eukaryota,A,48,5.057714158964989e-50,expected
Eukaryota,A,48,0,empirical
Eukaryota,A,49,3.292927737763282e-51,expected
Eukaryota,A,49,0,empirical
Eukaryota,A,50,2.144016438185315e-52,expected
Eukaryota,A,50,0,empirical
Eukaryota,B,1,332.0055438127316,expected
Eukaryota,B,1,279,empirical
Eukaryota,B,2,0.0020238814712598007,expected
Eukaryota,B,2,20,empirical
Eukaryota,B,3,1.234489423003773e-08,expected
Eukaryota,B,3,3,empirical
Eukaryota,B,4,7.531496835193042e-14,expected
Eukaryota,B,4,1,empirical
Eukaryota,B,5,4.595356605287993e-19,expected
Eukaryota,B,5,0,empirical
Eukaryota,B,6,2.8040250885568063e-24,expected
Eukaryota,B,6,0,empirical
Eukaryota,B,7,1.7110175759532606e-29,expected
Eukaryota,B,7,0,empirical
Eukaryota,B,8,1.0440627801952158e-34,expected
Eukaryota,B,8,0,empirical
Eukaryota,B,9,6.370741707584272e-40,expected
Eukaryota,B,9,0,empirical
Eukaryota,B,10,3.8872461058840406e-45,expected
Eukaryota,B,10,0,empirical
Eukaryota,B,11,2.371819649392107e-50,expected
Eukaryota,B,11,0,empirical
Eukaryota,B,12,1.4471306940356751e-55,expected
Eukaryota,B,12,0,empirical
Eukaryota,B,13,8.829201895541657e-61,expected
Eukaryota,B,13,0,empirical
Eukaryota,B,14,5.386713120815111e-66,expected
Eukaryota,B,14,0,empirical
Eukaryota,B,15,3.2863672827463686e-71,expected
Eukaryota,B,15,0,empirical
Eukaryota,B,16,2.0049161512823557e-76,expected
Eukaryota,B,16,0,empirical
Eukaryota,B,17,1.2231247620734735e-81,expected
Eukaryota,B,17,0,empirical
Eukaryota,B,18,7.461809084000768e-87,expected
Eukaryota,B,18,0,empirical
Eukaryota,B,19,4.5522387494373445e-92,expected
Eukaryota,B,19,0,empirical
Eukaryota,B,20,2.7772846976781075e-97,expected
Eukaryota,B,20,0,empirical
Eukaryota,B,21,1.694585264543602e-102,expected
Eukaryota,B,21,0,empirical
Eukaryota,B,22,1.034091058841793e-107,expected
Eukaryota,B,22,0,empirical
Eukaryota,B,23,6.311079428923299e-113,expected
Eukaryota,B,23,0,empirical
Eukaryota,B,24,3.852066491680814e-118,expected
Eukaryota,B,24,0,empirical
Eukaryota,B,25,2.3513848772896044e-123,expected
Eukaryota,B,25,0,empirical
Eukaryota,B,26,1.4354608521661536e-128,expected
Eukaryota,B,26,0,empirical
Eukaryota,B,27,8.763848212876978e-134,expected
Eukaryota,B,27,0,empirical
Eukaryota,B,28,5.350969377304718e-139,expected
Eukaryota,B,28,0,empirical
Eukaryota,B,29,3.2673916183835144e-144,expected
Eukaryota,B,29,0,empirical
Eukaryota,B,30,1.9952919568977497e-149,expected
Eukaryota,B,30,0,empirical
Eukaryota,B,31,1.2185479666557515e-154,expected
Eukaryota,B,31,0,empirical
Eukaryota,B,32,7.442384814542496e-160,expected
Eukaryota,B,32,0,empirical
Eukaryota,B,33,4.54583860156458e-165,expected
Eukaryota,B,33,0,empirical
Eukaryota,B,34,2.7768189346301652e-170,expected
Eukaryota,B,34,0,empirical
Eukaryota,B,35,1.6963326068817753e-175,expected
Eukaryota,B,35,0,empirical
Eukaryota,B,36,1.0363415838091123e-180,expected
Eukaryota,B,36,0,empirical
Eukaryota,B,37,6.33173634389367e-186,expected
Eukaryota,B,37,0,empirical
Eukaryota,B,38,3.8687993957004263e-191,expected
Eukaryota,B,38,0,empirical
Eukaryota,B,39,2.3640375149605406e-196,expected
Eukaryota,B,39,0,empirical
Eukaryota,B,40,1.4446160809132908e-201,expected
Eukaryota,B,40,0,empirical
Eukaryota,B,41,8.828186793049194e-207,expected
Eukaryota,B,41,0,empirical
Eukaryota,B,42,5.395257951566711e-212,expected
Eukaryota,B,42,0,empirical
Eukaryota,B,43,3.2974480323459637e-217,expected
Eukaryota,B,43,0,empirical
Eukaryota,B,44,2.0154257429960778e-222,expected
Eukaryota,B,44,0,empirical
Eukaryota,B,45,1.231897883747473e-227,expected
Eukaryota,B,45,0,empirical
Eukaryota,B,46,7.530075820713701e-233,expected
Eukaryota,B,46,0,empirical
Eukaryota,B,47,4.602988057219472e-238,expected
Eukaryota,B,47,0,empirical
Eukaryota,B,48,2.8138207334111136e-243,expected
Eukaryota,B,48,0,empirical
Eukaryota,B,49,1.7201643175398318e-248,expected
