Kingdom,aa,n,count,type
Bacteria,A,1,6484520.177895469,expected
Bacteria,A,1,6354092,empirical
Bacteria,A,2,611183.880638517,expected
Bacteria,A,2,645397,empirical
Bacteria,A,3,57633.836276840484,expected
Bacteria,A,3,73031,empirical
Bacteria,A,4,5434.944064440049,expected
Bacteria,A,4,7979,empirical
Bacteria,A,5,512.4577962831155,expected
Bacteria,A,5,1395,empirical
Bacteria,A,6,48.312096659677856,expected
Bacteria,A,6,156,empirical
Bacteria,A,7,4.55415084547653,expected
Bacteria,A,7,79,empirical
Bacteria,A,8,0.42925225244850485,expected
Bacteria,A,8,1,empirical
Bacteria,A,9,0.040454818458885475,expected
Bacteria,A,9,0,empirical
Bacteria,A,10,0.003812354124495417,expected
Bacteria,A,10,0,empirical
Bacteria,A,11,0.00035924904285055455,expected
Bacteria,A,11,0,empirical
Bacteria,A,12,3.3851025235308836e-05,expected
Bacteria,A,12,0,empirical
Bacteria,A,13,3.189532011774904e-06,expected
Bacteria,A,13,0,empirical
Bacteria,A,14,3.005132858489802e-07,expected
Bacteria,A,14,0,empirical
Bacteria,A,15,2.8312181728698984e-08,expected
Bacteria,A,15,0,empirical
Bacteria,A,16,2.6672211478114556e-09,expected
Bacteria,A,16,0,empirical
Bacteria,A,17,2.5125979480371416e-10,expected
Bacteria,A,17,0,empirical
Bacteria,A,18,2.3667916536005776e-11,expected
Bacteria,A,18,0,empirical
Bacteria,A,19,2.229272796196043e-12,expected
Bacteria,A,19,0,empirical
Bacteria,A,20,2.0995454438101534e-13,expected
Bacteria,A,20,0,empirical
Bacteria,A,21,1.9771736258032288e-14,expected
Bacteria,A,21,0,empirical
Bacteria,A,22,1.8616526613991183e-15,expected
Bacteria,A,22,0,empirical
Bacteria,A,23,1.7526614775187435e-16,expected
Bacteria,A,23,0,empirical
Bacteria,A,24,1.6498557525272673e-17,expected
Bacteria,A,24,0,empirical
Bacteria,A,25,1.5529188990594794e-18,expected
Bacteria,A,25,0,empirical
Bacteria,A,26,1.4615691796875725e-19,expected
Bacteria,A,26,0,empirical
Bacteria,A,27,1.375517083044384e-20,expected
Bacteria,A,27,0,empirical
Bacteria,A,28,1.294471808900138e-21,expected
Bacteria,A,28,0,empirical
Bacteria,A,29,1.2181967856715703e-22,expected
Bacteria,A,29,0,empirical
Bacteria,A,30,1.1464260074076133e-23,expected
Bacteria,A,30,0,empirical
Bacteria,A,31,1.07891818956024e-24,expected
Bacteria,A,31,0,empirical
Bacteria,A,32,1.0154309329926499e-25,expected
Bacteria,A,32,0,empirical
Bacteria,A,33,9.557262725546835e-27,expected
Bacteria,A,33,0,empirical
Bacteria,A,34,8.995719653973944e-28,expected
Bacteria,A,34,0,empirical
Bacteria,A,35,8.467354735166044e-29,expected
Bacteria,A,35,0,empirical
Bacteria,A,36,7.970047513178468e-30,expected
Bacteria,A,36,0,empirical
Bacteria,A,37,7.502171505988709e-31,expected
Bacteria,A,37,0,empirical
Bacteria,A,38,7.061703091159978e-32,expected
Bacteria,A,38,0,empirical
Bacteria,A,39,6.647214333697547e-33,expected
Bacteria,A,39,0,empirical
Bacteria,A,40,6.257032938782816e-34,expected
Bacteria,A,40,0,empirical
Bacteria,A,41,5.889790926414857e-35,expected
Bacteria,A,41,0,empirical
Bacteria,A,42,5.544039060744614e-36,expected
Bacteria,A,42,0,empirical
Bacteria,A,43,5.218642286577592e-37,expected
Bacteria,A,43,0,empirical
Bacteria,A,44,4.912455821989113e-38,expected
Bacteria,A,44,0,empirical
Bacteria,A,45,4.624358274019113e-39,expected
Bacteria,A,45,0,empirical
Bacteria,A,46,4.353293734297284e-40,expected
Bacteria,A,46,0,empirical
Bacteria,A,47,4.098214976199141e-41,expected
Bacteria,A,47,0,empirical
Bacteria,A,48,3.858160880727485e-42,expected
Bacteria,A,48,0,empirical
Bacteria,A,49,3.632203849145188e-43,expected
Bacteria,A,49,0,empirical
Bacteria,A,50,3.419561444921299e-44,expected
Bacteria,A,50,0,empirical
Bacteria,B,1,11.000066842718294,expected
Bacteria,B,1,11,empirical
Bacteria,B,2,1.4429559620131882e-06,expected
Bacteria,B,2,0,empirical
Bacteria,B,3,1.8935852329467931e-13,expected
Bacteria,B,3,0,empirical
Bacteria,B,4,2.484942853036485e-20,expected
Bacteria,B,4,0,empirical
Bacteria,B,5,3.2605583647314156e-27,expected
Bacteria,B,5,0,empirical
Bacteria,B,6,4.277654644749162e-34,expected
Bacteria,B,6,0,empirical
Bacteria,B,7,5.611425533707161e-41,expected
Bacteria,B,7,0,empirical
Bacteria,B,8,7.360282639652935e-48,expected
Bacteria,B,8,0,empirical
Bacteria,B,9,9.653191438587508e-55,expected
Bacteria,B,9,0,empirical
Bacteria,B,10,1.2659456498614735e-61,expected
Bacteria,B,10,0,empirical
Bacteria,B,11,1.6601133392654584e-68,expected
Bacteria,B,11,0,empirical
Bacteria,B,12,2.1768835514396505e-75,expected
Bacteria,B,12,0,empirical
Bacteria,B,13,2.8543804472748045e-82,expected
Bacteria,B,13,0,empirical
Bacteria,B,14,3.7425587286342355e-89,expected
Bacteria,B,14,0,empirical
Bacteria,B,15,4.90680647033942e-96,expected
Bacteria,B,15,0,empirical
Bacteria,B,16,6.432880945059047e-103,expected
Bacteria,B,16,0,empirical
Bacteria,B,17,8.433138822712301e-110,expected
Bacteria,B,17,0,empirical
Bacteria,B,18,1.1054640088117588e-116,expected
Bacteria,B,18,0,empirical
Bacteria,B,19,1.448987754394611e-123,expected
Bacteria,B,19,0,empirical
Bacteria,B,20,1.8990784499243812e-130,expected
Bacteria,B,20,0,empirical
Bacteria,B,21,2.4887123421035447e-137,expected
Bacteria,B,21,0,empirical
Bacteria,B,22,3.260940916610157e-144,expected
Bacteria,B,22,0,empirical
Bacteria,B,23,4.2722576841754046e-151,expected
Bacteria,B,23,0,empirical
Bacteria,B,24,5.596570537979656e-158,expected
Bacteria,B,24,0,empirical
Bacteria,B,25,7.330674478390524e-165,expected
Bacteria,B,25,0,empirical
Bacteria,B,26,9.60141674026344e-172,expected
Bacteria,B,26,0,empirical
Bacteria,B,27,1.2574881666413784e-178,expected
Bacteria,B,27,0,empirical
Bacteria,B,28,1.6468571627498603e-185,expected
Bacteria,B,28,0,empirical
Bacteria,B,29,2.1567879966955767e-192,expected
Bacteria,B,29,0,empirical
Bacteria,B,30,2.824650226922624e-199,expected
Bacteria,B,30,0,empirical
Bacteria,B,31,3.6994471031301034e-206,expected
Bacteria,B,31,0,empirical
Bacteria,B,32,4.8453885486545966e-213,expected
Bacteria,B,32,0,empirical
Bacteria,B,33,6.346598587424612e-220,expected
Bacteria,B,33,0,empirical
Bacteria,B,34,8.313248737813018e-227,expected
Bacteria,B,34,0,empirical
Bacteria,B,35,1.0889520459948254e-233,expected
Bacteria,B,35,0,empirical
Bacteria,B,36,1.4264276596372927e-240,expected
Bacteria,B,36,0,empirical
Bacteria,B,37,1.8685338068013374e-247,expected
Bacteria,B,37,0,empirical
Bacteria,B,38,2.447655977608074e-254,expected
Bacteria,B,38,0,empirical
Bacteria,B,39,3.206313503434763e-261,expected
Bacteria,B,39,0,empirical
Bacteria,B,40,4.2001103993636866e-268,expected
Bacteria,B,40,0,empirical
Bacteria,B,41,5.5019543805928124e-275,expected
Bacteria,B,41,0,empirical
Bacteria,B,42,7.207259076247053e-282,expected
Bacteria,B,42,0,empirical
Bacteria,B,43,9.441240931558206e-289,expected
Bacteria,B,43,0,empirical
Bacteria,B,44,1.2367965669228022e-295,expected
Bacteria,B,44,0,empirical
Bacteria,B,45,1.6202402468163895e-302,expected
Bacteria,B,45,0,empirical
Bacteria,B,46,2.122626493101983e-309,expected
Bacteria,B,46,0,empirical
Bacteria,B,47,3.09059405e-316,expected
Bacteria,B,47,0,empirical
Bacteria,B,48,0.0,expected
Bacteria,B,48,0,empirical
Bacteria,B,49,0.0,expected
Bacteria,B,49,0,empirical
Bacteria,B,50,0.0,expected
Bacteria,B,50,0,empirical
Bacteria,C,1,901527.7526745924,expected
Bacteria,C,1,899198,empirical
Bacteria,C,2,9908.689070754359,expected
Bacteria,C,2,11074,empirical
Bacteria,C,3,108.95099926722058,expected
Bacteria,C,3,99,empirical
Bacteria,C,4,1.1979735978970611,expected
Bacteria,C,4,7,empirical
Bacteria,C,5,0.013170656824982207,expected
Bacteria,C,5,0,empirical
Bacteria,C,6,0.00014477895584847684,expected
Bacteria,C,6,0,empirical
Bacteria,C,7,1.591318785741528e-06,expected
Bacteria,C,7,0,empirical
Bacteria,C,8,1.7488908827710824e-08,expected
Bacteria,C,8,0,empirical
Bacteria,C,9,1.921865971848195e-10,expected
Bacteria,C,9,0,empirical
Bacteria,C,10,2.1117910897164055e-12,expected
Bacteria,C,10,0,empirical
Bacteria,C,11,2.320371005891011e-14,expected
Bacteria,C,11,0,empirical
Bacteria,C,12,2.5494035640141504e-16,expected
Bacteria,C,12,0,empirical
Bacteria,C,13,2.8009085373308617e-18,expected
Bacteria,C,13,0,empirical
Bacteria,C,14,3.0770851862688e-20,expected
Bacteria,C,14,0,empirical
Bacteria,C,15,3.3802871102274103e-22,expected
Bacteria,C,15,0,empirical
Bacteria,C,16,3.71316218093547e-24,expected
Bacteria,C,16,0,empirical
Bacteria,C,17,4.078603816064763e-26,expected
