Kingdom,aa,n,count,type
Viruses,A,1,426275.3728136048,expected
Viruses,A,1,405685,empirical
Viruses,A,2,27670.8259830246,expected
Viruses,A,2,34347,empirical
Viruses,A,3,1796.1882985702973,expected
Viruses,A,3,3492,empirical
Viruses,A,4,116.59487262302734,expected
Viruses,A,4,419,empirical
Viruses,A,5,7.568414033642779,expected
Viruses,A,5,105,empirical
Viruses,A,6,0.49127892548222124,expected
Viruses,A,6,45,empirical
Viruses,A,7,0.03188961425271759,expected
Viruses,A,7,15,empirical
Viruses,A,8,0.002069990135901655,expected
Viruses,A,8,8,empirical
Viruses,A,9,0.00013436466941552403,expected
Viruses,A,9,2,empirical
Viruses,A,10,8.721670661253056e-06,expected
Viruses,A,10,0,empirical
Viruses,A,11,5.661247212951819e-07,expected
Viruses,A,11,0,empirical
Viruses,A,12,3.674704148108641e-08,expected
Viruses,A,12,0,empirical
Viruses,A,13,2.3852313636935164e-09,expected
Viruses,A,13,0,empirical
Viruses,A,14,1.5482339688855122e-10,expected
Viruses,A,14,0,empirical
Viruses,A,15,1.004940771936302e-11,expected
Viruses,A,15,0,empirical
Viruses,A,16,6.522922131304233e-13,expected
Viruses,A,16,0,empirical
Viruses,A,17,4.2339113894491054e-14,expected
Viruses,A,17,0,empirical
Viruses,A,18,2.7481420488809726e-15,expected
Viruses,A,18,0,empirical
Viruses,A,19,1.7837515078662992e-16,expected
Viruses,A,19,0,empirical
Viruses,A,20,1.1577833292939642e-17,expected
Viruses,A,20,0,empirical
Viruses,A,21,7.514808111406505e-19,expected
Viruses,A,21,0,empirical
Viruses,A,22,4.8776013365232685e-20,expected
Viruses,A,22,0,empirical
Viruses,A,23,3.165865281400233e-21,expected
Viruses,A,23,0,empirical
Viruses,A,24,2.0548315986005224e-22,expected
Viruses,A,24,0,empirical
Viruses,A,25,1.3336995498564092e-23,expected
Viruses,A,25,0,empirical
Viruses,A,26,8.656405429791316e-25,expected
Viruses,A,26,0,empirical
Viruses,A,27,5.618429829580359e-26,expected
Viruses,A,27,0,empirical
Viruses,A,28,3.646617523814991e-27,expected
Viruses,A,28,0,empirical
Viruses,A,29,2.366811495216032e-28,expected
Viruses,A,29,0,empirical
Viruses,A,30,1.536154572489931e-29,expected
Viruses,A,30,0,empirical
Viruses,A,31,9.970211229363772e-31,expected
Viruses,A,31,0,empirical
