kingdom,aa,n,expected_frequency
Eukaryota,X,1,0.00015616987207312883
Eukaryota,X,2,2.4396650772959576e-08
Eukaryota,X,3,3.811212502364346e-12
Eukaryota,X,4,5.953825741637331e-16
Eukaryota,X,5,9.300987793200343e-20
Eukaryota,X,6,1.4529880060861766e-23
Eukaryota,X,7,2.269838637325915e-27
Eukaryota,X,8,3.5459118849684377e-31
Eukaryota,X,9,5.539376627570841e-35
Eukaryota,X,10,8.653540871152027e-39
Eukaryota,X,11,1.351844704618632e-42
Eukaryota,X,12,2.111833910090665e-46
Eukaryota,X,13,3.2990789907831834e-50
Eukaryota,X,14,5.153777546341095e-54
Eukaryota,X,15,8.051163088660723e-58
Eukaryota,X,16,1.2577420444976805e-61
Eukaryota,X,17,1.96482797960605e-65
Eukaryota,X,18,3.0694282713468687e-69
Eukaryota,X,19,4.795020231151444e-73
Eukaryota,X,20,7.490717157909879e-77
Eukaryota,X,21,1.1701899227718456e-80
Eukaryota,X,22,1.8280552135262624e-84
Eukaryota,X,23,2.8557636659396383e-88
Eukaryota,X,24,4.461236211771478e-92
Eukaryota,X,25,6.969284179428945e-96
Eukaryota,X,26,1.088732352828095e-99
Eukaryota,X,27,1.700803275597989e-103
Eukaryota,X,28,2.6569723722921238e-107
Eukaryota,X,29,4.1506870832204685e-111
Eukaryota,X,30,6.484148439959417e-115
Eukaryota,X,31,1.0129450895345873e-118
Eukaryota,X,32,1.5824094156898346e-122
Eukaryota,X,33,2.4720190509184983e-126
Eukaryota,X,34,3.86175545185316e-130
Eukaryota,X,35,6.032783268549855e-134
Eukaryota,X,36,9.424334196985534e-138
Eukaryota,X,37,1.4722570180748568e-141
Eukaryota,X,38,2.2999404328891252e-145
Eukaryota,X,39,3.5929365116935446e-149
Eukaryota,X,40,5.61283787721597e-153
Eukaryota,X,41,8.768301063316249e-157
Eukaryota,X,42,1.3697723899890679e-160
Eukaryota,X,43,2.1398403029591448e-164
Eukaryota,X,44,3.3428302071447264e-168
Eukaryota,X,45,5.222125117629682e-172
Eukaryota,X,46,8.157934760160001e-176
Eukaryota,X,47,1.2744217737401635e-179
Eukaryota,X,48,1.9908848319242635e-183
Eukaryota,X,49,3.1101339412568983e-187
Eukaryota,X,50,4.858610090071822e-191
Eukaryota,L,1,0.04580328275569693
Eukaryota,L,2,0.0023287122088598185
Eukaryota,L,3,0.00011839545607718007
Eukaryota,L,4,6.019414492865437e-06
Eukaryota,L,5,3.0603666760064285e-07
Eukaryota,L,6,1.5559394028624513e-08
Eukaryota,L,7,7.910644970618798e-10
Eukaryota,L,8,4.0218985222722425e-11
Eukaryota,L,9,2.0447975839560817e-12
Eukaryota,L,10,1.0396078210820665e-13
Eukaryota,L,11,5.2855325638834234e-15
Eukaryota,L,12,2.6872493566655025e-16
Eukaryota,L,13,1.3662405855264406e-17
Eukaryota,L,14,6.946185819747799e-19
Eukaryota,L,15,3.53155205266237e-20
Eukaryota,L,16,1.7954975902324236e-21
Eukaryota,L,17,9.128597139323117e-23
Eukaryota,L,18,4.64112489960352e-24
Eukaryota,L,19,2.359622185640342e-25
Eukaryota,L,20,1.19966968771768e-26
Eukaryota,L,21,6.099312713649839e-28
Eukaryota,L,22,3.1009882103185456e-29
Eukaryota,L,23,1.5765920411023338e-30
Eukaryota,L,24,8.015646289128873e-32
Eukaryota,L,25,4.0752828732727995e-33
Eukaryota,L,26,2.071939042484312e-34
Eukaryota,L,27,1.0534069730288973e-35
Eukaryota,L,28,5.355689661098252e-37
Eukaryota,L,29,2.7229183478366676e-38
Eukaryota,L,30,1.3843752715621646e-39
Eukaryota,L,31,7.038385466223963e-41
Eukaryota,L,32,3.578427828695017e-42
Eukaryota,L,33,1.819329985069544e-43
Eukaryota,L,34,9.249764849331121e-45
Eukaryota,L,35,4.702728502803802e-46
Eukaryota,L,36,2.3909424435457446e-47
Eukaryota,L,37,1.2155934081544818e-48
Eukaryota,L,38,6.180271457129943e-50
Eukaryota,L,39,3.1421489313440744e-51
Eukaryota,L,40,1.5975188104976345e-52
Eukaryota,L,41,8.122041334311021e-54
Eukaryota,L,42,4.1293758172216794e-55
Eukaryota,L,43,2.099440761009336e-56
Eukaryota,L,44,1.0673892869244846e-57
Eukaryota,L,45,5.426777982977789e-59
Eukaryota,L,46,2.7590607885327217e-60
Eukaryota,L,47,1.4027506669144602e-61
Eukaryota,L,48,7.131808917393944e-63
Eukaryota,L,49,3.625925806622439e-64
Eukaryota,L,50,1.8434787173090433e-65
Eukaryota,K,1,0.0594933097879093
Eukaryota,K,2,0.004079825692401365
Eukaryota,K,3,0.0002797789825396637
Eukaryota,K,4,1.9186182198106705e-05
Eukaryota,K,5,1.3157156552556999e-06
Eukaryota,K,6,9.022679278297283e-08
Eukaryota,K,7,6.1874114694784845e-09
Eukaryota,K,8,4.2430922691356806e-10
Eukaryota,K,9,2.9097518555552694e-11
Eukaryota,K,10,1.9953975364839273e-12
Eukaryota,K,11,1.3683680005236438e-13
Eukaryota,K,12,9.38374910573694e-15
Eukaryota,K,13,6.435019471788454e-16
Eukaryota,K,14,4.4128924522268034e-17
Eukaryota,K,15,3.026194385315214e-18
Eukaryota,K,16,2.0752494099628807e-19
Eukaryota,K,17,1.423127388792209e-20
Eukaryota,K,18,9.759268235458779e-22
Eukaryota,K,19,6.692536257942906e-23
Eukaryota,K,20,4.5894877037135646e-24
Eukaryota,K,21,3.147296715432707e-25
Eukaryota,K,22,2.1582967979102614e-26
Eukaryota,K,23,1.4800781397661286e-27
Eukaryota,K,24,1.0149814900038818e-28
Eukaryota,K,25,6.960358357926174e-30
Eukaryota,K,26,4.7731499488298525e-31
Eukaryota,K,27,3.27324532192658e-32
Eukaryota,K,28,2.2446675785119284e-33
Eukaryota,K,29,1.5393079474583973e-34
Eukaryota,K,30,1.0555990471780194e-35
Eukaryota,K,31,7.238898170070407e-37
Eukaryota,K,32,4.964161994721041e-38
Eukaryota,K,33,3.4042341432181125e-39
Eukaryota,K,34,2.3344947473864986e-40
Eukaryota,K,35,1.600908015223433e-41
Eukaryota,K,36,1.0978420388719414e-42
Eukaryota,K,37,7.528584596075546e-44
Eukaryota,K,38,5.162817965916627e-45
Eukaryota,K,39,3.540464878761659e-46
Eukaryota,K,40,2.427916622374911e-47
Eukaryota,K,41,1.6649731961939988e-48
Eukaryota,K,42,1.141775511768952e-49
Eukaryota,K,43,7.829863701441558e-51
Eukaryota,K,44,5.369423757229612e-52
Eukaryota,K,45,3.682147299625884e-53
Eukaryota,K,46,2.5250770565252668e-54
Eukaryota,K,47,1.7316021393381324e-55
Eukaryota,K,48,1.1874671155923167e-56
Eukaryota,K,49,8.143199402329849e-58
Eukaryota,K,50,5.584297504780035e-59
Eukaryota,V,1,0.033279333832238064
Eukaryota,V,2,0.001191273751526016
Eukaryota,V,3,4.2643075676597155e-05
Eukaryota,V,4,1.5264601447237373e-06
Eukaryota,V,5,5.464147546722994e-08
Eukaryota,V,6,1.9559572855904793e-09
Eukaryota,V,7,7.001584181870967e-11
Eukaryota,V,8,2.506301206931854e-12
Eukaryota,V,9,8.971606391783057e-14
Eukaryota,V,10,3.211494333820152e-15
Eukaryota,V,11,1.1495929943610862e-16
Eukaryota,V,12,4.1151062879567814e-18
Eukaryota,V,13,1.473051753468015e-19
Eukaryota,V,14,5.27296579129813e-21
Eukaryota,V,15,1.8875214785047968e-22
Eukaryota,V,16,6.756609985402234e-24
Eukaryota,V,17,2.4186097490662896e-25
Eukaryota,V,18,8.657704279093828e-27
Eukaryota,V,19,3.099129299928459e-28
Eukaryota,V,20,1.1093705800125044e-29
Eukaryota,V,21,3.97112532163692e-31
Eukaryota,V,22,1.4215120361284666e-32
Eukaryota,V,23,5.088473178744096e-34
Eukaryota,V,24,1.8214801305036614e-35
Eukaryota,V,25,6.520207043006387e-37
Eukaryota,V,26,2.3339864746103326e-38
Eukaryota,V,27,8.354785097671065e-40
Eukaryota,V,28,2.9906957382827283e-41
Eukaryota,V,29,1.0705554834050402e-42
Eukaryota,V,30,3.8321820183108604e-44
Eukaryota,V,31,1.371775610803056e-45
Eukaryota,V,32,4.910435666684586e-47
Eukaryota,V,33,1.7577494633056192e-48
Eukaryota,V,34,6.292075460256007e-50
Eukaryota,V,35,2.252324032749387e-51
Eukaryota,V,36,8.062464572371892e-53
Eukaryota,V,37,2.8860560929771296e-54
Eukaryota,V,38,1.0330984647489762e-55
Eukaryota,V,39,3.6981001182333893e-57
Eukaryota,V,40,1.323779383197594e-58
Eukaryota,V,41,4.738627401510517e-60
Eukaryota,V,42,1.6962486298968615e-61
Eukaryota,V,43,6.07192583554851e-63
Eukaryota,V,44,2.173518828701615e-64
Eukaryota,V,45,7.780371873224107e-66
Eukaryota,V,46,2.785077620966266e-67
Eukaryota,V,47,9.96952007075831e-69
