kingdom,aa,n,expected_frequency
Eukaryota,X,1,8.134941674492642e-05
Eukaryota,X,2,6.618804607968512e-09
Eukaryota,X,3,5.385235222500529e-13
Eukaryota,X,4,4.3815704072523494e-17
Eukaryota,X,5,3.564962056531159e-21
Eukaryota,X,6,2.900547813512499e-25
Eukaryota,X,7,2.359962738750289e-29
Eukaryota,X,8,1.9201283641469496e-33
Eukaryota,X,9,1.562267435101125e-37
Eukaryota,X,10,1.271102278550925e-41
Eukaryota,X,11,1.0342025739227992e-45
Eukaryota,X,12,8.41454682252536e-50
Eukaryota,X,13,6.846298782636469e-54
Eukaryota,X,14,5.570330525187155e-58
Eukaryota,X,15,4.5321688615936925e-62
Eukaryota,X,16,3.687492958832875e-66
Eukaryota,X,17,3.000242210009044e-70
Eukaryota,X,18,2.4410767475930297e-74
Eukaryota,X,19,1.9861248761050532e-78
Eukaryota,X,20,1.6159639500777228e-82
Eukaryota,X,21,1.3147911892991537e-86
Eukaryota,X,22,1.0697490320718724e-90
Eukaryota,X,23,8.703762247058466e-95
Eukaryota,X,24,7.081612133511192e-99
Eukaryota,X,25,5.761787717310572e-103
Eukaryota,X,26,4.687943518150676e-107
Eukaryota,X,27,3.814235356735608e-111
Eukaryota,X,28,3.1033631911826314e-115
Eukaryota,X,29,2.5249787167380687e-119
Eukaryota,X,30,2.054389746612493e-123
Eukaryota,X,31,1.6715060618169809e-127
Eukaryota,X,32,1.3599817265919773e-131
Eukaryota,X,33,1.1065172534603762e-135
Eukaryota,X,34,9.00291826180422e-140
Eukaryota,X,35,7.325013412602008e-144
Eukaryota,X,36,5.959825462643539e-148
Eukaryota,X,37,4.849072287576462e-152
Eukaryota,X,38,3.9453340030720245e-156
Eukaryota,X,39,3.2100285317825104e-160
Eukaryota,X,40,2.6117644708494576e-164
Eukaryota,X,41,2.125000941161016e-168
Eukaryota,X,42,1.728957205113724e-172
Eukaryota,X,43,1.4067255026632736e-176
Eukaryota,X,44,1.1445492311726e-180
Eukaryota,X,45,9.312356533649631e-185
Eukaryota,X,46,7.576780609162757e-189
Eukaryota,X,47,6.1646699406262945e-193
Eukaryota,X,48,5.015739195470884e-197
Eukaryota,X,49,4.080938625957815e-201
Eukaryota,X,50,3.32036005458034e-205
Eukaryota,L,1,0.08637919950554304
Eukaryota,L,2,0.0093931892868669
Eukaryota,L,3,0.0010214496717262257
Eukaryota,L,4,0.00011107616380395833
Eukaryota,L,5,1.2078827285296396e-05
Eukaryota,L,6,1.3134957455455575e-06
Eukaryota,L,7,1.428343193272131e-07
Eukaryota,L,8,1.55323249784829e-08
Eukaryota,L,9,1.6890416839144046e-09
Eukaryota,L,10,1.836725547496919e-10
Eukaryota,L,11,1.9973223686283035e-11
Eukaryota,L,12,2.171961210894884e-12
Eukaryota,L,13,2.361869859231456e-13
Eukaryota,L,14,2.5683834517687427e-14
Eukaryota,L,15,2.7929538664192225e-15
Eukaryota,L,16,3.0371599281930157e-16
Eukaryota,L,17,3.3027185090055583e-17
Eukaryota,L,18,3.59149659801342e-18
Eukaryota,L,19,3.905524427337825e-19
Eukaryota,L,20,4.247009745455271e-20
Eukaryota,L,21,4.618353338603213e-21
Eukaryota,L,22,5.022165909322866e-22
Eukaryota,L,23,5.461286430802417e-23
Eukaryota,L,24,5.93880210605945e-24
Eukaryota,L,25,6.458070072284065e-25
Eukaryota,L,26,7.02274100293343e-26
Eukaryota,L,27,7.636784773510446e-27
Eukaryota,L,28,8.304518371467814e-28
Eukaryota,L,29,9.030636246455967e-29
Eukaryota,L,30,9.820243314289883e-30
