kingdom,aa,n,expected_frequency
Viruses,I,1,0.05424743228447807
Viruses,I,2,0.003341840911327241
Viruses,I,3,0.00020586966435674005
Viruses,I,4,1.2682326845272925e-05
Viruses,I,5,7.812778765287983e-07
Viruses,I,6,4.812958440515672e-08
Viruses,I,7,2.964959030076566e-09
Viruses,I,8,1.8265235735321837e-10
Viruses,I,9,1.125205552868171e-11
Viruses,I,10,6.931679144753495e-13
Viruses,I,11,4.270168738799306e-14
Viruses,I,12,2.630580653984859e-15
Viruses,I,13,1.6205342225106482e-16
Viruses,I,14,9.98308553037548e-18
Viruses,I,15,6.149947055878198e-19
Viruses,I,16,3.7885930832731614e-20
Viruses,I,17,2.333912376840064e-21
Viruses,I,18,1.4377756763629957e-22
Viruses,I,19,8.857225815563377e-24
Viruses,I,20,5.4563761536383045e-25
Viruses,I,21,3.3613279541410266e-26
Viruses,I,22,2.070701377095503e-27
Viruses,I,23,1.2756280409422123e-28
Viruses,I,24,7.858336874825081e-30
Viruses,I,25,4.8410239079271805e-31
Viruses,I,26,2.9822483879763934e-32
Viruses,I,27,1.837174452500469e-33
Viruses,I,28,1.131766885189147e-34
Viruses,I,29,6.97209935979347e-36
Viruses,I,30,4.295069074645042e-37
Viruses,I,31,2.645920174683036e-38
Viruses,I,32,1.629983930205659e-39
Viruses,I,33,1.004129919772413e-40
Viruses,I,34,6.185808811347825e-42
Viruses,I,35,3.8106852407326964e-43
Viruses,I,36,2.3475219565950267e-44
Viruses,I,37,1.446159676949899e-45
Viruses,I,38,8.90887433602233e-47
Viruses,I,39,5.488193537689612e-48
Viruses,I,40,3.3809286303825253e-49
Viruses,I,41,2.082776112985309e-50
Viruses,I,42,1.2830665213809577e-51
Viruses,I,43,7.904160644175024e-53
Viruses,I,44,4.8692530315328486e-54
Viruses,I,45,2.9996385640978408e-55
Viruses,I,46,1.847887439193199e-56
Viruses,I,47,1.1383664781476717e-57
Viruses,I,48,7.012755274402015e-59
Viruses,I,49,4.3201146100749544e-60
Viruses,I,50,2.661349143653743e-61
Viruses,Q,1,0.03464029945421006
Viruses,Q,2,0.0012949597133272554
Viruses,Q,3,4.8409531255850635e-05
Viruses,Q,4,1.8096954617915184e-06
Viruses,Q,5,6.765191852654037e-08
Viruses,Q,6,2.52903440216999e-09
Viruses,Q,7,9.454299518276206e-11
Viruses,Q,8,3.5343046067140746e-12
Viruses,Q,9,1.321230518336472e-13
Viruses,Q,10,4.9391613820367175e-15
Viruses,Q,11,1.8464086939588997e-16
Viruses,Q,12,6.902437076719244e-18
Viruses,Q,13,2.5803408397040956e-19
Viruses,Q,14,9.646098580893528e-21
Viruses,Q,15,3.6060049277438274e-22
Viruses,Q,16,1.348034278300757e-23
Viruses,Q,17,5.039361986149061e-25
Viruses,Q,18,1.8838667262568187e-26
Viruses,Q,19,7.042466590120061e-28
Viruses,Q,20,2.6326881292448727e-29
Viruses,Q,21,9.841788664770519e-31
Viruses,Q,22,3.6791598308223383e-32
Viruses,Q,23,1.3753818052597133e-33
Viruses,Q,24,5.1415953566134e-35
Viruses,Q,25,1.9220846684209675e-36
Viruses,Q,26,7.185336877642443e-38
Viruses,Q,27,2.686097386522665e-39
Viruses,Q,28,1.0041448706927183e-40
Viruses,Q,29,3.753798825007673e-42
Viruses,Q,30,1.4032841305964327e-43
Viruses,Q,31,5.245902732093697e-45
Viruses,Q,32,1.961077936717748e-46
Viruses,Q,33,7.331105569977331e-48
Viruses,Q,34,2.7405901556419385e-49
Viruses,Q,35,1.0245159245776253e-50
Viruses,Q,36,3.8299520180071845e-52
Viruses,Q,37,1.4317525094873135e-53
Viruses,Q,38,5.3523261878613294e-55
Viruses,Q,39,2.0008622601628503e-56
Viruses,Q,40,7.479831466967598e-58
Viruses,Q,41,2.7961884177716988e-59
Viruses,Q,42,1.0453002453610583e-60
Viruses,Q,43,3.907650128322293e-62
Viruses,Q,44,1.460798425442146e-63
Viruses,Q,45,5.4609086527673195e-65
Viruses,Q,46,2.0414536868659872e-66
Viruses,Q,47,7.631574561326587e-68
Viruses,Q,48,2.8529146000122e-69
Viruses,Q,49,1.0665062169749619e-70
Viruses,Q,50,3.9869244976396425e-72
Viruses,S,1,0.06285292449734059
Viruses,S,2,0.0045988512736172965
Viruses,S,3,0.0003364908348496384
Viruses,S,4,2.4620513950377646e-05
Viruses,S,5,1.8014449262833814e-06
Viruses,S,6,1.3180893904054183e-07
Viruses,S,7,9.644256206509346e-09
Viruses,S,8,7.05655310283512e-10
Viruses,S,9,5.1631707647421364e-11
Viruses,S,10,3.777812192071132e-12
Viruses,S,11,2.7641667511793155e-13
Viruses,S,12,2.022498059686856e-14
Viruses,S,13,1.4798305491851782e-15
Viruses,S,14,1.08276912495074e-16
Viruses,S,15,7.922454220127636e-18
Viruses,S,16,5.796737219753441e-19
Viruses,S,17,4.2413829681092806e-20
Viruses,S,18,3.1033543181611834e-21
Viruses,S,19,2.2706763563826146e-22
Viruses,S,20,1.661418770412936e-23
Viruses,S,21,1.215634417877962e-24
Viruses,S,22,8.894609018785802e-26
Viruses,S,23,6.508047850041047e-27
Viruses,S,24,4.761837954762144e-28
Viruses,S,25,3.484163182246778e-29
Viruses,S,26,2.54930831243088e-30
Viruses,S,27,1.8652894631755712e-31
Viruses,S,28,1.36480345059407e-32
Viruses,S,29,9.98605575985154e-34
Viruses,S,30,7.306642549552285e-35
Viruses,S,31,5.34615734488164e-36
Viruses,S,32,3.911700642586277e-37
Viruses,S,33,2.8621308596274863e-38
Viruses,S,34,2.0941768826706165e-39
Viruses,S,35,1.532276835337576e-40
Viruses,S,36,1.121143261364815e-41
