virus_TaxName,virus_TaxID,virushost_TaxName
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Apium graveolens (Celery)
Chloris striate mosaic virus (CSMV),,Hordeum vulgare (Barley)
Potato virus X (PVX),,Brassica campestris (Field mustard)
Avian metapneumovirus,38525,Meleagris gallopavo (Common turkey)
Ostreid herpesvirus 1 (OsHV-1) (Pacific oyster herpesvirus),261939,Crassostrea gigas (Pacific oyster) (Crassostrea angulata)
Variola virus,10255,Homo sapiens (Human)
Nile crocodilepox virus,1285600,Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)
Hepatitis B virus (HBV),10407,Homo sapiens (Human)
Hepatitis B virus (HBV),10407,Gorilla gorilla (western gorilla)
Tobacco yellow dwarf virus,10830,Nicotiana tabacum (Common tobacco)
Helicoverpa armigera stunt virus (HaSV),,Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)
Corynephage omega,,Corynebacterium diphtheriae
Seoul virus,11608,Rattus norvegicus (Rat)
Bovine viral diarrhea virus (BVDV) (Mucosal disease virus),11099,Bos taurus (Bovine)
Guanarito mammarenavirus (isolate Human/Venezuela/NH-95551/1990) (GTOV),,Homo sapiens (Human)
Cryphonectria parasitica mitovirus 1 (strain American chestnut tree/New Jersey/NB631) (CMV1) (Cryphonectria mitovirus 1),,Cryphonectria parasitica (Chesnut blight fungus) (Endothia parasitica)
Cercopithecine herpesvirus 1 (CeHV-1) (Simian herpes B virus),10325,Macaca mulatta (Rhesus macaque)
Plum pox virus,12211,Prunus domestica (Garden plum)
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Pseudomonas putida (Arthrobacter siderocapsulatus)
Vibrio phage KVP40 (Bacteriophage KVP40),75320,Vibrio parahaemolyticus
Bluetongue virus,40051,Antilocapra americana (Pronghorn)
Pseudomonas phage Pf1 (Bacteriophage Pf1),,Pseudomonas aeruginosa
Pepper mild mottle virus,12239,Vicia faba (Broad bean) (Faba vulgaris)
Barley yellow dwarf virus,12037,Hordeum vulgare (Barley)
Cowpox virus (CPV),,Mus musculus (Mouse)
Punta toro phlebovirus,,Phlebotomus papatasi (Sandfly)
Enterobacteria phage K1F (Bacteriophage K1F),,Escherichia coli
Turnip mosaic virus (strain Japanese) (TuMV),12230,Trifolium hybridum (Alsike clover)
Influenza A virus,11320,Equus caballus (Horse)
Gloriosa stripe mosaic virus (GSMV),,Papaver somniferum (Opium poppy)
Maize stripe virus (MStV),,Sorghum bicolor (Sorghum) (Sorghum vulgare)
Spiroplasma virus SpV1-R8A2 B (SpV1) (Spiroplasma virus 1),,Spiroplasma citri
Vesicular stomatitis Indiana virus,11277,Bos taurus (Bovine)
Alphapapillomavirus 9,337041,Homo sapiens (Human)
Dengue virus,12637,Homo sapiens (Human)
Borna disease virus (BDV),,Vicugna pacos (Alpaca) (Lama pacos)
Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4),10376,Homo sapiens (Human)
Simian foamy virus,11642,Pan troglodytes (Chimpanzee)
Foot-and-mouth disease virus,12110,Capra hircus (Goat)
Beet mosaic virus (BtMV),,Trifolium incarnatum (Crimson clover)
Tomato yellow leaf curl Sardinia virus (TYLCSV),,Malva parviflora (Little mallow) (Cheeseweed mallow)
Tomato black ring virus,12275,Solanum tuberosum (Potato)
Alfalfa mosaic virus,12321,Lens culinaris (Lentil) (Cicer lens)
Zaire ebolavirus,186538,Homo sapiens (Human)
Tomato torrado virus,370833,Solanum melongena (Eggplant) (Aubergine)
Tomato black ring virus,12275,Beta vulgaris (Sugar beet)
Avian hepatitis E virus,172851,Gallus gallus (Chicken)
Rift valley fever virus (RVFV),,Phlebotomus papatasi (Sandfly)
Potato virus S,12169,Solanum tuberosum (Potato)
Enterobacteria phage f1 (Bacteriophage f1),,Escherichia coli
Groundnut rosette virus,47740,Phaseolus vulgaris (Kidney bean) (French bean)
Chikungunya virus (CHIKV),37124,Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)
Influenza A virus,11320,Felis catus (Cat) (Felis silvestris catus)
Hendra virus,63330,Homo sapiens (Human)
Feline calicivirus,11978,Felis catus (Cat) (Felis silvestris catus)
Human parainfluenza 2 virus (HPIV-2),,Homo sapiens (Human)
Rhinovirus B,147712,Homo sapiens (Human)
Murine pneumonia virus,11263,Mus musculus (Mouse)
Barley yellow mosaic virus (BaYMV),12465,Hordeum vulgare (Barley)
Sheep pulmonary adenomatosis virus (Jaagsiekte sheep retrovirus) (JSRV),,Ovis aries (Sheep)
Zucchini yellow mosaic virus,12232,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Rotavirus (isolate Human/Bangladesh/ADRV-N B219/2002) (RV ADRV-N) (Rotavirus (isolate novel adult diarrhea rotavirus-B219)),,Homo sapiens (Human)
Striped jack nervous necrosis virus (SjNNV),,Hippoglossus hippoglossus (Atlantic halibut) (Pleuronectes hippoglossus)
Peanut stunt virus,12313,Glycine max (Soybean) (Glycine hispida)
Enterobacteria phage RB69 (Bacteriophage RB69),,Escherichia coli
Influenza B virus,11520,Homo sapiens (Human)
