Kingdom,aa,n,count,type
Viruses,A,1,20981.411125358274,expected
Viruses,A,1,19174,empirical
Viruses,A,2,1389.8034065750028,expected
Viruses,A,2,1854,empirical
Viruses,A,3,92.23815416630377,expected
Viruses,A,3,280,empirical
Viruses,A,4,6.124824105343672,expected
Viruses,A,4,47,empirical
Viruses,A,5,0.40673156650229947,expected
Viruses,A,5,14,empirical
Viruses,A,6,0.027013202034441224,expected
Viruses,A,6,9,empirical
Viruses,A,7,0.0017943394117238703,expected
Viruses,A,7,4,empirical
Viruses,A,8,0.00011918988437319582,expected
Viruses,A,8,0,empirical
Viruses,A,9,7.91708384544215e-06,expected
Viruses,A,9,0,empirical
Viruses,A,10,5.258121929625749e-07,expected
Viruses,A,10,0,empirical
Viruses,A,11,3.4918098651468796e-08,expected
Viruses,A,11,0,empirical
Viruses,A,12,2.318717067697892e-09,expected
Viruses,A,12,0,empirical
Viruses,A,13,1.539550450485358e-10,expected
Viruses,A,13,0,empirical
Viruses,A,14,1.0221389387088556e-11,expected
Viruses,A,14,0,empirical
Viruses,A,15,6.78489110154845e-13,expected
Viruses,A,15,0,empirical
Viruses,A,16,4.503029226815547e-14,expected
Viruses,A,16,0,empirical
Viruses,A,17,2.9884329068141227e-15,expected
Viruses,A,17,0,empirical
Viruses,A,18,1.9830729369910544e-16,expected
Viruses,A,18,0,empirical
Viruses,A,19,1.3158423927886494e-17,expected
Viruses,A,19,0,empirical
Viruses,A,20,8.730047825870327e-19,expected
Viruses,A,20,0,empirical
Viruses,A,21,5.790841524115348e-20,expected
Viruses,A,21,0,empirical
Viruses,A,22,3.840706839375816e-21,expected
Viruses,A,22,0,empirical
Viruses,A,23,2.5468375126753217e-22,expected
Viruses,A,23,0,empirical
Viruses,A,24,1.6887623315871817e-23,expected
Viruses,A,24,0,empirical
Viruses,A,25,1.119601712789897e-24,expected
Viruses,A,25,0,empirical
Viruses,A,26,7.421931372894445e-26,expected
Viruses,A,26,0,empirical
Viruses,A,27,4.919278706687193e-27,expected
Viruses,A,27,0,empirical
Viruses,A,28,3.259848049235026e-28,expected
Viruses,A,28,0,empirical
Viruses,A,29,2.159862204746148e-29,expected
Viruses,A,29,0,empirical
Viruses,A,30,1.4307252118540059e-30,expected
Viruses,A,30,0,empirical
Viruses,A,31,9.475254498119926e-32,expected
Viruses,A,31,0,empirical
Viruses,A,32,6.273511811599616e-33,expected
Viruses,A,32,0,empirical
Viruses,A,33,4.153055677145151e-34,expected
Viruses,A,33,0,empirical
Viruses,A,34,2.7489044521056545e-35,expected
Viruses,A,34,0,empirical
Viruses,A,35,1.81913295011908e-36,expected
Viruses,A,35,0,empirical
Viruses,A,36,1.2038828935067227e-37,expected
Viruses,A,36,0,empirical
Viruses,A,37,7.964665038724112e-39,expected
Viruses,A,37,0,empirical
Viruses,A,38,5.268413275340291e-40,expected
Viruses,A,38,0,empirical
Viruses,A,39,3.484653388635678e-41,expected
Viruses,A,39,0,empirical
Viruses,A,40,2.3043840852645574e-42,expected
Viruses,A,40,0,empirical
Viruses,A,41,1.523535919393505e-43,expected
Viruses,A,41,0,empirical
Viruses,A,42,1.0072414512470769e-44,expected
Viruses,A,42,0,empirical
Viruses,A,43,6.658125894071979e-46,expected
Viruses,A,43,0,empirical
Viruses,A,44,4.400600686381032e-47,expected
Viruses,A,44,0,empirical
Viruses,A,45,2.9085007125526654e-48,expected
Viruses,A,45,0,empirical
Viruses,A,46,1.9219252028013157e-49,expected
Viruses,A,46,0,empirical
Viruses,A,47,1.2701212327528809e-50,expected
Viruses,A,47,0,empirical
Viruses,A,48,8.393231838930201e-52,expected
Viruses,A,48,0,empirical
Viruses,A,49,5.545861201045491e-53,expected
Viruses,A,49,0,empirical
Viruses,A,50,3.665554573433901e-54,expected
Viruses,A,50,0,empirical
Viruses,B,1,0.0,expected
Viruses,B,1,0,empirical
Viruses,B,2,0.0,expected
Viruses,B,2,0,empirical
Viruses,B,3,0.0,expected
Viruses,B,3,0,empirical
Viruses,B,4,0.0,expected
Viruses,B,4,0,empirical
Viruses,B,5,0.0,expected
Viruses,B,5,0,empirical
Viruses,B,6,0.0,expected
Viruses,B,6,0,empirical
Viruses,B,7,0.0,expected
Viruses,B,7,0,empirical
Viruses,B,8,0.0,expected
Viruses,B,8,0,empirical
Viruses,B,9,0.0,expected
Viruses,B,9,0,empirical
Viruses,B,10,0.0,expected
Viruses,B,10,0,empirical
Viruses,B,11,0.0,expected
Viruses,B,11,0,empirical
Viruses,B,12,0.0,expected
Viruses,B,12,0,empirical
Viruses,B,13,0.0,expected
Viruses,B,13,0,empirical
Viruses,B,14,0.0,expected
Viruses,B,14,0,empirical
Viruses,B,15,0.0,expected
Viruses,B,15,0,empirical
Viruses,B,16,0.0,expected
Viruses,B,16,0,empirical
Viruses,B,17,0.0,expected
Viruses,B,17,0,empirical
Viruses,B,18,0.0,expected
Viruses,B,18,0,empirical
Viruses,B,19,0.0,expected
Viruses,B,19,0,empirical
Viruses,B,20,0.0,expected
Viruses,B,20,0,empirical
Viruses,B,21,0.0,expected
Viruses,B,21,0,empirical
Viruses,B,22,0.0,expected
Viruses,B,22,0,empirical
Viruses,B,23,0.0,expected
Viruses,B,23,0,empirical
Viruses,B,24,0.0,expected
Viruses,B,24,0,empirical
Viruses,B,25,0.0,expected
Viruses,B,25,0,empirical
Viruses,B,26,0.0,expected
Viruses,B,26,0,empirical
Viruses,B,27,0.0,expected
Viruses,B,27,0,empirical
Viruses,B,28,0.0,expected
Viruses,B,28,0,empirical
Viruses,B,29,0.0,expected
Viruses,B,29,0,empirical
Viruses,B,30,0.0,expected
Viruses,B,30,0,empirical
Viruses,B,31,0.0,expected
Viruses,B,31,0,empirical
Viruses,B,32,0.0,expected
Viruses,B,32,0,empirical
Viruses,B,33,0.0,expected
Viruses,B,33,0,empirical
Viruses,B,34,0.0,expected
Viruses,B,34,0,empirical
Viruses,B,35,0.0,expected
Viruses,B,35,0,empirical
Viruses,B,36,0.0,expected
Viruses,B,36,0,empirical
Viruses,B,37,0.0,expected
Viruses,B,37,0,empirical
Viruses,B,38,0.0,expected
Viruses,B,38,0,empirical
Viruses,B,39,0.0,expected
Viruses,B,39,0,empirical
Viruses,B,40,0.0,expected
Viruses,B,40,0,empirical
Viruses,B,41,0.0,expected
Viruses,B,41,0,empirical
Viruses,B,42,0.0,expected
Viruses,B,42,0,empirical
Viruses,B,43,0.0,expected
Viruses,B,43,0,empirical
Viruses,B,44,0.0,expected
